Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Afghanistan,0,0,0,0,33,65,5.89,0.89,12.72,9.4,0,0,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
23-01-2020,,Afghanistan,0,0,0,0,33,65,5.56,0.39,13.28,14.9,99.99,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
24-01-2020,,Afghanistan,0,0,0,0,33,65,4.50,2.72,6.22,10.4,0.17,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
25-01-2020,,Afghanistan,0,0,0,0,33,65,7.78,3.28,13.50,6.1,0.57,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
26-01-2020,,Afghanistan,0,0,0,0,33,65,6.00,2.28,11.72,10.8,0,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
27-01-2020,,Afghanistan,0,0,0,0,33,65,6.11,2.50,10.39,3.7,0.04,0,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
28-01-2020,,Afghanistan,0,0,0,0,33,65,5.39,1.50,9.00,2.4,0,0,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
29-01-2020,,Afghanistan,0,0,0,0,33,65,-9.33,-10.39,-8.39,2.4,0,0,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
30-01-2020,,Afghanistan,0,0,0,0,33,65,-9.33,-10.39,-8.39,2.4,0,0,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
31-01-2020,,Afghanistan,0,0,0,0,33,65,-14.67,-15.11,-13.50,1.9,0,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
01-02-2020,,Afghanistan,0,0,0,0,33,65,-14.67,-15.11,-13.50,1.9,0,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
02-02-2020,,Afghanistan,0,0,0,0,33,65,-6.39,-15.61,2.22,4.5,1.73,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
03-02-2020,,Afghanistan,0,0,0,0,33,65,-6.39,-15.61,2.22,4.5,1.73,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
04-02-2020,,Afghanistan,0,0,0,0,33,65,-15.44,-18.11,-10.61,3.3,0,1,38928346,60,18.4,1.03,2.61,0.5,0.21,0.000000,36.31,39.33,18.4,63.2,63.6,1019,1.561605,Not Reported,Not Reported
