Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Albania,0,0,0,0,41.1533,20.1683,5.72,-0.39,13.22,0.2,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
23-01-2020,,Albania,0,0,0,0,41.1533,20.1683,6.72,1.22,15.22,0.2,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
24-01-2020,,Albania,0,0,0,0,41.1533,20.1683,8.17,0.00,17.22,0.8,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
25-01-2020,,Albania,0,0,0,0,41.1533,20.1683,10.83,5.78,15.00,0.7,0,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
26-01-2020,,Albania,0,0,0,0,41.1533,20.1683,11.39,9.78,13.22,0.5,0.06,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
27-01-2020,,Albania,0,0,0,0,41.1533,20.1683,10.50,9.61,12.78,2.5,1.38,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
28-01-2020,,Albania,0,0,0,0,41.1533,20.1683,11.50,9.00,14.00,1.6,0.08,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
29-01-2020,,Albania,0,0,0,0,41.1533,20.1683,12.22,10.22,16.78,1.7,1.1,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
30-01-2020,,Albania,0,0,0,0,41.1533,20.1683,9.89,6.39,15.78,1.7,0.39,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
31-01-2020,,Albania,0,0,0,0,41.1533,20.1683,9.72,3.00,17.00,1.1,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
01-02-2020,,Albania,0,0,0,0,41.1533,20.1683,12.83,9.50,18.39,1.5,0.01,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
02-02-2020,,Albania,0,0,0,0,41.1533,20.1683,13.17,10.00,18.00,1.5,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
03-02-2020,,Albania,0,0,0,0,41.1533,20.1683,13.28,8.00,18.39,1.4,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
04-02-2020,,Albania,0,0,0,0,41.1533,20.1683,13.39,8.22,18.61,4,0,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
05-02-2020,,Albania,0,0,0,0,41.1533,20.1683,8.56,5.61,12.00,6,0.24,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
06-02-2020,,Albania,0,0,0,0,41.1533,20.1683,5.78,3.00,10.00,7.5,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
07-02-2020,,Albania,0,0,0,0,41.1533,20.1683,5.89,1.00,14.39,1,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
08-02-2020,,Albania,0,0,0,0,41.1533,20.1683,7.94,-0.22,15.00,0.3,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
09-02-2020,,Albania,0,0,0,0,41.1533,20.1683,7.94,1.50,16.39,1,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
10-02-2020,,Albania,0,0,0,0,41.1533,20.1683,10.56,5.61,15.22,1.8,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
11-02-2020,,Albania,0,0,0,0,41.1533,20.1683,15.00,12.00,18.00,2.5,0,0,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
12-02-2020,,Albania,0,0,0,0,41.1533,20.1683,14.17,11.78,18.61,2,0,1,2877797,105,36,0.98,12.23,2.9,0.725,0,7.02,17.04,76,81.6,1526,5415,5927,Not Reported
