Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,18.28,9.78,28,5.5,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
23-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,16.67,7,27,1.6,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
24-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,17,9,27,0.9,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
25-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,18.22,10,25,3.8,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
26-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,20.06,13,28,2.7,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
27-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,19.39,15,26,13.2,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
28-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,17.67,13,24,14.5,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
29-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,17.89,12.78,24.22,14.4,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
30-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,17.78,11.78,25,11.5,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
31-01-2020,,Algeria,0,0,0,0,28.0339,1.6596,19.39,11.5,28,12.4,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
01-02-2020,,Algeria,0,0,0,0,28.0339,1.6596,21.06,15,28,11.9,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
02-02-2020,,Algeria,0,0,0,0,28.0339,1.6596,19.67,14,26.11,14.2,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
03-02-2020,,Algeria,0,0,0,0,28.0339,1.6596,19.44,14.78,26,18.2,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
04-02-2020,,Algeria,0,0,0,0,28.0339,1.6596,21.28,13.89,28.11,13.7,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
05-02-2020,,Algeria,0,0,0,0,28.0339,1.6596,20.06,10,29,6.1,0,0,43851044,18,29,1.03,5.81,1.9,0.475,0.000,5.03,12.18,75.8,78.7,7560,Not Reported,2657,Not Reported
