Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-3.22,-7.78,5.39,1.6,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
23-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-2.67,-6.61,6.61,1.5,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
24-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.83,-6.78,5.28,1.4,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
25-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-2.28,-6.72,6.22,1.1,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
26-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.78,-7.78,5.72,1.5,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
27-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.22,-7.22,5.39,1.9,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
28-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,1.56,0.11,4.72,4.5,0.13,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
29-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,1.33,-3.72,5.39,5.1,0.05,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
30-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,0.11,-5.28,10.39,2,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
31-01-2020,,Andorra,0,0,0,0,42.5063,1.5218,2,-1.5,12.22,1.2,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
01-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,1.61,-3.11,9.28,2.6,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
02-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,4.67,-0.11,11.5,3.7,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
03-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,8.89,2.22,13.78,6.6,0.02,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
04-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,3.06,-1.22,9.5,7.8,0.01,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
05-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,0,-5.61,8.11,2.4,0.03,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
06-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.33,-6.61,7.28,1.8,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
07-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.78,-6.11,9.78,1.8,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
08-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.94,-6.28,6.78,1.6,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
09-02-2020,,Andorra,0,0,0,0,42.5063,1.5218,-1.89,-7.28,7.78,1.6,0,0,77265,164,45,1.06,16.18,2.5,1.875,0.000,Not reported,Not Reported,80.7,85.3,Not Reported,Not Reported,3.042,Not Reported
