Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Angola,0,0,0,0,-8.830833,13.245,29.06,24.5,33.72,8.7,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
23-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.67,26.89,33.72,6.9,99.99,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
24-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.89,24.5,31,7.1,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
25-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.39,25.28,34.39,7.1,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
26-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.17,24.89,34.28,5.5,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
27-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.28,24.72,33.78,4.7,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
28-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.5,27,34.22,5.5,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
29-01-2020,,Angola,0,0,0,0,-8.830833,13.245,27.17,25,33.5,4.6,99.99,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
30-01-2020,,Angola,0,0,0,0,-8.830833,13.245,27.5,24,32.89,4.6,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
31-01-2020,,Angola,0,0,0,0,-8.830833,13.245,28.39,22.39,32,5.6,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
01-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.78,27,31,5.2,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
02-02-2020,,Angola,0,0,0,0,-8.830833,13.245,29,25.28,34.39,7,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
03-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.17,23,32,5.8,99.99,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
04-02-2020,,Angola,0,0,0,0,-8.830833,13.245,25.5,22.11,29.39,4.3,1.02,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
05-02-2020,,Angola,0,0,0,0,-8.830833,13.245,26.78,25,33.11,4.8,0,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
06-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.11,22.28,32.39,5.4,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
07-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.11,26,34,6,0.02,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
08-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.72,24,31,5.4,0.02,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
09-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.44,26,33.61,6,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
10-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.28,24.72,32,6.5,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
11-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.5,25,31,6.8,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
12-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.78,26,34.11,6.5,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
13-02-2020,,Angola,0,0,0,0,-8.830833,13.245,28.39,25,31,6.7,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
14-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27,24,29,5.4,99.99,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
15-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.72,23.11,31,6.1,1.1,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
16-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.72,26,29,4.9,0,0,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
17-02-2020,,Angola,0,0,0,0,-8.830833,13.245,27.5,24.72,29.22,4.8,99.99,1,29800000,26,16.7,,2.32,0.8,0.4,0.000,Not reported,Not Reported,58.5,62.7,231,Not Reported,0.218,Not Reported
