Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.89,22.11,27.61,6,0.03,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
23-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.72,23.72,29,5.7,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
24-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.17,22.39,28.89,3,0.04,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
25-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.17,21.72,28,1.7,0.09,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
26-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,23.56,21.28,28.28,2.6,0.02,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
27-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.06,21.28,28.78,3.4,1.19,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
28-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.5,21,28.22,3.5,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
29-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.39,20.72,29.22,2.7,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
30-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.61,20.72,29.22,3.3,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
31-01-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.72,21.39,28.61,4,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
01-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.56,21.39,28.39,7.1,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
02-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,26,23.78,28.61,6,99.99,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
03-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.33,21.72,29,4,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
04-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.67,21.72,29,7.2,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
05-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.78,23.5,28.28,8.4,0.03,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
06-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,26.22,23.5,28.39,10.6,0.13,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
07-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.78,23,28,10.7,0.04,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
08-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.72,23,28.61,13.4,0.05,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
09-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.11,22.39,28.11,9.4,0,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
10-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,26,22.78,28.28,10.5,0.21,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
11-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.72,21.28,28.28,11.5,0.01,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
12-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.39,21.28,28.22,11.5,0.44,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
13-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.67,23.5,28.11,12.6,0.09,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
14-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25,22.28,28.11,11.4,0.44,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
15-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.72,22.11,27.89,10.9,0.73,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
16-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.06,22.11,27.78,11.2,0.04,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
17-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.72,22.22,27.78,10.4,0.14,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
18-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.61,22.22,28,11.7,0.16,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
19-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.39,24,28,11.6,0,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
20-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.11,22.5,27.89,11.2,0.02,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
21-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.28,22.5,28.11,8.8,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
22-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.22,22,29.5,4.7,99.99,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
23-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.67,21.72,29.5,3.8,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
24-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.28,20.39,29.28,4.3,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
25-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.61,20.39,28.39,6.8,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
26-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.44,22.5,28.39,7.3,0.06,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
27-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.06,22.5,28.11,7.2,0.13,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
28-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.33,21.11,28.39,6.5,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
29-02-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.06,21.22,28.78,5,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
01-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,24.89,21.39,28.78,5.4,0.06,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
02-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.39,21.39,28.39,7.3,0.07,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
03-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.5,22.78,28.22,8.9,0.05,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
04-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.94,22.78,28.61,8.5,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
05-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.83,23.22,28.61,8.2,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
06-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.83,24,28,8.5,99.99,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
07-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.78,23.28,28.61,9.3,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
08-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.5,21.72,28.61,6.5,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
09-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.56,21.72,28.61,9.1,99.99,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
10-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.94,23,28,11.3,0,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
11-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.5,22.89,28.5,8.4,0.33,0,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
12-03-2020,,Antigua and Barbuda,0,0,0,0,17.0608,-61.7964,25.5,22.28,28.28,7.8,0,1,97929,223,34,0.9,8.32,3.8,1.406,0.000,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
13-03-2020,,Antigua and Barbuda,1,0,1,0,17.0608,-61.7964,25.56,22,28,6.1,0.22,1,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
14-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,25.94,22.39,29.11,5.6,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
15-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,24.28,20.11,29.11,5.4,0.42,1,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
16-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,23.78,18,28,4.1,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
17-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,24.17,18.22,28.89,4.9,0.04,0,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
18-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,25.94,19.89,29.11,8,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
19-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,26.06,24.22,29.11,10.3,0,0,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
20-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,24.89,21.22,28.89,10.8,0.35,1,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
21-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,25.11,20.89,28.22,12.5,0.09,1,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
22-03-2020,,Antigua and Barbuda,1,0,0,0,17.0608,-61.7964,24.17,20.89,28.39,11.3,0.32,1,97929,223,34,0.9,8.32,3.8,1.406,0.010,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
23-03-2020,,Antigua and Barbuda,3,0,2,0,17.0608,-61.7964,24.89,21.78,28.28,11.6,0.25,1,97929,223,34,0.9,8.32,3.8,1.406,0.031,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
24-03-2020,,Antigua and Barbuda,3,0,0,0,17.0608,-61.7964,24.11,22,28.28,10.4,0.6,1,97929,223,34,0.9,8.32,3.8,1.406,0.031,7.67,18.78,74.8,79.2,Not Reported,Not Reported,0.269,Not Reported
