Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,25.22,15.61,34.78,6.6,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
23-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,27.83,18,35.89,11.8,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
24-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,26.39,22.5,36.5,13.7,0.01,1,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
25-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,22.94,18.39,29.22,10.2,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
26-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,20.44,13.39,29,12.4,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
27-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,18.22,7.39,28.78,5.7,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
28-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,24.72,16,32.89,16.9,0,1,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
29-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,19.33,11,34.22,7.4,0.02,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
30-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,22.06,10.11,32.61,12.2,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
31-01-2020,,Argentina,0,0,0,0,-38.4161,-63.6167,25.5,19.39,33.39,14,0,0,45195774,17,32,0.98,11.79,5,1.85,0.000,20.16,42.59,74.4,80,4843,18.41,6.942,89.92
