 Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-10.61,-15.5,-0.5,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
23-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-9.17,-15,-1,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
24-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-8.94,-14.78,-5,4.3,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
25-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-15.33,-22,-2.5,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
26-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-10.44,-20,1.5,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
27-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-8.33,-14.5,2,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
28-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-9.83,-15,-0.5,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
29-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-5.44,-11,2,999.9,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
30-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,-3.39,-8.61,2.5,6.2,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
31-01-2020,,Armenia,0,0,0,0,40.0691,45.0382,1.28,-1.22,5,4.3,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
01-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-3.44,-6.39,-1.22,999.9,0.04,1,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
02-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-8.33,-14.22,-1,999.9,0.12,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
03-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-6.33,-11,2,2.3,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
04-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-1.72,-6.39,1,5.1,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
05-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-0.56,-5,4,6.6,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
06-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,3.78,2,7,12,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
07-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,2,-1,6,5.1,0,1,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
08-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-2.39,-4.28,0.5,3.4,0.21,1,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
09-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-13.39,-16.11,-6.39,6.8,0.41,1,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
10-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-13.11,-18,-10,2.4,0.08,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
11-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-12.89,-22,-6.5,2.4,0.08,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
12-02-2020,,Armenia,0,0,0,0,40.0691,45.0382,-9.67,-16.5,-3.5,4.3,0,0,2963243,104,35,0.94,11.7,4.2,1.26,0.000,16.17,35.99,71.8,78.7,3603,Not Reported,1.652,Not Reported
