Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Austria,0,0,0,0,47.5162,14.5501,-2.61,-9.22,5.11,6.8,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
23-01-2020,,Austria,0,0,0,0,47.5162,14.5501,-2.89,-6.28,2.89,4.7,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
24-01-2020,,Austria,0,0,0,0,47.5162,14.5501,-3.44,-8.72,3.5,2.6,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
25-01-2020,,Austria,0,0,0,0,47.5162,14.5501,-1.56,-6,3.61,2.2,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
26-01-2020,,Austria,0,0,0,0,47.5162,14.5501,0.78,-4,5.72,3.8,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
27-01-2020,,Austria,0,0,0,0,47.5162,14.5501,0.78,-2.22,5.61,3.1,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
28-01-2020,,Austria,0,0,0,0,47.5162,14.5501,0.89,-3.78,8.11,5.5,0.24,1,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
29-01-2020,,Austria,0,0,0,0,47.5162,14.5501,0.5,-2.22,3.22,9.6,0,1,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
30-01-2020,,Austria,0,0,0,0,47.5162,14.5501,0.22,-2.89,4.39,5.3,0.2,1,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
31-01-2020,,Austria,0,0,0,0,47.5162,14.5501,5.89,-2.72,12.89,6.9,0.02,1,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
01-02-2020,,Austria,0,0,0,0,47.5162,14.5501,4.22,0.78,9.72,4.5,0,0,9006398,109,43,0.96,19.44,7.6,0,0.000,13.02,22.14,79,84.5,92190,Not Reported,30.816,Not Reported
