Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,4.78,1.5,10.89,4.9,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
23-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,5.72,-0.28,11.5,11.7,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
24-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,4.11,-1.22,9.22,9,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
25-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,1.56,-2.78,7.22,5.3,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
26-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,3.11,-2.28,12,3.9,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
27-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,4.39,1.22,10.61,4.6,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
28-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,4.11,0.5,10.72,4.7,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
29-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,5.56,0.78,10.39,4.4,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
30-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,8.94,2.22,19,4.9,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
31-01-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,9.61,4,16.28,7.8,0,0,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
01-02-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,5.22,4.11,6.28,2.8,0,1,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
02-02-2020,,Azerbaijan,0,0,0,0,40.1431,47.5769,4.94,2.28,10.39,3.9,0.02,1,10139177,123,32,0.98,6.81,4.7,1.175,0.000,14.07,29.32,70,76.4,30000,4.908,2.85,22.535
