Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,18.94,16,22.11,18.1,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
23-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,22.39,19,25.11,13.3,0,1,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
24-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,22.22,18.5,25.39,7.4,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
25-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,21.5,18,26.11,3.4,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
26-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,21.83,17,25.39,4.9,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
27-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,20.83,16,26,3.6,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
28-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,23.39,15.78,27.72,5.7,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
29-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,22.72,19,27.78,4.5,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
30-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,23.61,19,27.39,8.3,0.01,1,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
31-01-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,21.33,16,25.11,4.3,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
01-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,24.5,22,28.89,7.6,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
02-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,22.39,20,25.89,15,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
03-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,20.17,15,23.22,5.9,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
04-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,19.61,14,26.22,4.7,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
05-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,21.61,17,27.5,6.2,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
06-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,24.22,16.5,27.89,11.4,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
07-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,25.78,22.22,29.39,12.3,0,0,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
08-02-2020,,Bahamas,0,0,0,0,25.066667,-77.333333,22.5,21,24.39,7.6,0,1,393244,39,32,0.96,8.05,2.9,1.16,0.000,3.35,10.43,70.4,75.4,3011,Not Reported,1.633,Not Reported
