Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,20.11,17.72,23.5,7.9,99.99,1,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
23-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,15.17,12,18,14.8,0.36,1,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
24-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,15.5,13.72,17.11,7.9,0.02,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
25-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,16.39,11.89,20,7.8,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
26-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,14.44,10.78,16.22,17.9,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
27-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,15.56,14,17,16.2,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
28-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,15.94,13.72,18,8.9,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
29-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,16.89,13.72,20.11,5.5,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
30-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,17.22,15,20.11,6.1,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
31-01-2020,,Bahrain,0,0,0,0,26.0275,50.55,16.83,12.78,20,4.2,0,0,1701575,2239,32,0.95,3.08,6.8,2.04,0.000,13.83,22.39,76.9,81.5,33852,2.86,12.045,3.809
