Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,19,14,24,2.3,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
23-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.44,14,24,2.1,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
24-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.11,13,25,3.4,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
25-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.56,13,24,2.9,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
26-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.22,13,24,2.9,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
27-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,17.89,13,23,3,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
28-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.94,14,24,0.6,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
29-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,19.06,16,28,1.9,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
30-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,20.89,17,24,2.3,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
31-01-2020,,Bangladesh,0,0,0,0,23.685,90.3563,20.28,16,25,5.1,0,1,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
01-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,19.28,15,25,4,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
02-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,18.56,13,24,3,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
03-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,17.83,13,24,3.9,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
04-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,19.89,14,25,3.9,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
05-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,20.39,15,26,3.3,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
06-02-2020,,Bangladesh,0,0,0,0,23.685,90.3563,20.22,15,25,3.8,0,0,164689383,1265,28,0.8,6.42,0.97,0.2425,0.000,61.7,76.24,71.5,75.9,1602,Not Reported,Not Reported,Not Reported
