Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,24.33,23,26,12.7,0.42,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
23-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,25.28,23,26,14,0.44,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
24-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.17,23,30,12,0.38,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
25-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.56,22,29.22,9.4,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
26-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26,23,29,6.7,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
27-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.67,24,29,8.7,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
28-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.83,24.5,30,9.8,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
29-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.83,23.89,30,12.6,0.08,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
30-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,27.17,25,30,13.6,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
31-01-2020,,Barbados,0,0,0,0,13.1939,-59.5432,27.28,25,30,13.9,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
01-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,27.22,25.72,30,14.4,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
02-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,27,24.72,30,13.3,0.01,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
03-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.72,24.61,30,12.4,0,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
04-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.72,25,30,14.3,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
05-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.72,24.5,30,15.6,0.08,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
06-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,27.17,25.11,30,19.2,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
07-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.61,24,30,19.1,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
08-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.78,24.39,30,18.3,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
09-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,25.94,23.61,29.22,17.5,0.03,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
10-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.83,18.11,30.89,19.3,0.02,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
11-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.22,23,30,18.5,0,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
12-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.89,24,30,20.2,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
13-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.83,24.5,30,20.4,0,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
14-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.56,25.39,29,18.4,0,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
15-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.72,26,30,18.6,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
16-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.89,25,29.11,16.6,0,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
17-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,26.94,24.89,30,17,0.03,0,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
18-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,25.94,23,28,17.2,0,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
19-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,25,22.72,27.22,16,0.2,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
20-02-2020,,Barbados,0,0,0,0,13.1939,-59.5432,25.94,23,29,17.6,99.99,1,287375,668,40,0.94,12.36,5.8,1.74,0.000,6.15,14.54,73.3,78.1,382,Not Reported,0.68,Not Reported
