Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,1.94,-1,4,12.7,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
23-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,0.11,-1,1,12,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
24-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,1.22,-1,3,9.6,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
25-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,2.72,1,4,10,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
26-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,2.11,1,3,8.5,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
27-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,0.28,-1,1,4.3,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
28-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,-0.22,-1,1,6.3,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
29-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,0.11,-1,1,5.9,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
30-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,0.5,-1,2,5.8,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
31-01-2020,,Belarus,0,0,0,0,53.7098,27.9534,0.22,0,1,4.3,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
01-02-2020,,Belarus,0,0,0,0,53.7098,27.9534,2.56,0,7,5.7,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
02-02-2020,,Belarus,0,0,0,0,53.7098,27.9534,5.72,2,8,12.5,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
03-02-2020,,Belarus,0,0,0,0,53.7098,27.9534,1.83,1,3,11.5,99.99,1,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
04-02-2020,,Belarus,0,0,0,0,53.7098,27.9534,-0.56,-4,1,5.7,0,0,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
05-02-2020,,Belarus,0,0,0,0,53.7098,27.9534,-4.06,-6,-1,8.4,0,0,9449323,47,40,0.87,15.22,11,0.15,0.000,2.83,21.51,67.8,79,31000,9.326,11.502,3.572
