Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Belgium,0,0,0,0,50.8333,4,-0.11,-4,3,1.6,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
23-01-2020,,Belgium,0,0,0,0,50.8333,4,1.44,-1,3,6.6,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
24-01-2020,,Belgium,0,0,0,0,50.8333,4,0.67,-1,1,3,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
25-01-2020,,Belgium,0,0,0,0,50.8333,4,1.06,0,2,3.3,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
26-01-2020,,Belgium,0,0,0,0,50.8333,4,8,0,0,6.4,0,0,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
27-01-2020,,Belgium,0,0,0,0,50.8333,4,8.5,8,10,8.5,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
28-01-2020,,Belgium,0,0,0,0,50.8333,4,5.44,3,8,13.2,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
29-01-2020,,Belgium,0,0,0,0,50.8333,4,5.22,3,7,12.1,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
30-01-2020,,Belgium,0,0,0,0,50.8333,4,8.94,6,13,10.8,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
31-01-2020,,Belgium,0,0,0,0,50.8333,4,12.22,11,14,13.8,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
01-02-2020,,Belgium,0,0,0,0,50.8333,4,11,9,12,12.8,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
02-02-2020,,Belgium,0,0,0,0,50.8333,4,11.67,11,12,14,0,0,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
03-02-2020,,Belgium,0,0,0,0,50.8333,4,9.72,5,12,11.9,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
04-02-2020,,Belgium,1,0,1,0,50.8333,4,4.72,3,6,11.7,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
05-02-2020,,Belgium,1,0,0,0,50.8333,4,4.67,3,8,4.1,0,0,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
06-02-2020,,Belgium,1,0,0,0,50.8333,4,3.22,-1,7,2.7,0,0,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
07-02-2020,,Belgium,1,0,0,0,50.8333,4,3.22,-2,9,6.3,0,0,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
08-02-2020,,Belgium,1,0,0,0,50.8333,4,7.89,3,12,8.5,0,1,11589623,383,42,0.97,18.78,6.2,1.86,0.000,21.2,34.98,78.6,83.9,18360,Not Reported,9.119,Not Reported
