Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,21.17,16,25,4.7,0.27,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
23-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,23,18.72,27,2.7,0,1,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
24-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,24.44,21,28,3,0.03,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
25-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,23.78,20,27.22,5,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
26-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,24.61,19,29,2.6,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
27-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,25.28,20,30,2.4,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
28-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,26.06,22,30,2.6,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
29-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,26.33,22,30,2.9,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
30-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,25.28,21.78,29.61,3.8,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
31-01-2020,,Belize,0,0,0,0,17.498611,-88.188611,27.44,24,31,3.9,0,0,375000,95,23.7,1.01,4.35,1.3,0.364,0.000,Not Reported,Not Reported,73.1,76.3,Not Reported,Not Reported,0.489,Not Reported
