Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,4.28,0.11,6.78,3,0.01,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
23-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,6.06,5.28,7.28,2.1,0.04,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
24-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,5.78,5.22,6.5,4.2,0.02,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
25-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,5.22,4.22,5.72,6.3,0,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
26-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,7.17,4.22,9.22,9.4,0,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
27-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,6.56,4.11,8.39,7.3,0.03,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
28-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,3.83,2.61,5.72,14.9,0.33,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
29-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,4.94,2.11,7.39,14.7,0,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
30-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,8.22,5.78,11.72,11.9,0,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
31-01-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,9.89,7.39,11.72,13.4,0.01,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
01-02-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,9.56,6.61,11.22,18.4,0.01,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
02-02-2020,Faroe Islands,Denmark,0,0,0,0,61.8926,-6.9118,8.11,5.39,11.61,11.9,0.09,0,5792202,137,42,0.97,19.42,2.5,0.625,0.000,31.31,32.85,79.1,83.1,4512,Not reported,"12,749",Not Reported
