Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.39,23.5,30,6.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
23-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.39,23.5,30,7.3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
24-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,26.78,25,28,2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
25-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,26.78,25,28,2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
26-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.28,23,30,2.3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
27-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.44,23,28,3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
28-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.39,21.39,31,10.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
29-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.39,21.39,30,6.7,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
30-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.28,21,30,0,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
31-01-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.28,21,30,0,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
01-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.06,21.5,29,7.4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
02-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,26.89,21.5,29,4.3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
03-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,26.61,20,29,6.4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
04-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.39,21,30,5.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
05-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.44,26,30,10.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
06-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.28,22,30,3.5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
07-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.28,24,29,5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
08-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.17,22,30,5.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
09-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.5,25,29,3.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
10-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.72,22,30,3.5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
11-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.89,25,32,0.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
12-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.33,23.5,30,6.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
13-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.5,20,30,9.4,0.98,1,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
14-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.67,25,30,4.5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
15-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.22,24,30,5.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
16-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.5,21.5,30,7.1,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
17-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.44,21.5,30,10.2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
18-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.94,23.5,30,8.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
19-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.78,26,30,6.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
20-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.83,21,31,3.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
21-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.56,27,31,5.1,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
22-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.33,26,31,7.4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
23-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.83,26,30,9.5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
24-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.11,23,30,7.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
25-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.5,23,30,5.2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
26-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.5,23,31,5.8,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
27-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.44,24,30,5.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
28-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.78,22,30,1.3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
29-02-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.61,27,30,4.2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
01-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.67,23,30,2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
02-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.33,22.5,32,3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
03-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.89,24,30,8.1,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
04-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.83,21.5,30,6.3,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
05-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.83,22.5,38,4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
06-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,27.72,25,30,2.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
07-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.67,24,31.22,4.4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
08-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.22,23.5,30,6.5,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
09-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.22,22.5,31,6.4,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
10-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.17,22,31,5.9,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
11-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.67,22,31,8.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
12-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.56,23,32,8.2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
13-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.89,27,31,14.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
14-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,28.89,27,31,14.6,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
15-03-2020,,Djibouti,0,0,0,0,11.8251,42.5903,29.06,22.28,31,9.2,0,0,988000,43,27,0.84,3.83%,2.2,0.55,0.000,12.95,25.16,27,61.4,66.6,Not reported,N/A,N/A,N/A
