Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,26.56,18,30,8.1,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
23-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,25.72,21,28,5.9,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
24-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,25.72,21,29,6,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
25-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,26.33,19,29,4.7,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
26-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,26.33,21,29,2.5,99.99,1,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
27-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,27,20,30,5.8,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
28-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,26.5,18,31,5.6,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
29-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,27.39,20,31,4.8,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
30-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,27.83,21,31,4.5,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
31-01-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,28.11,18,33,4.1,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
01-02-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,27.78,21,31,5.6,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
02-02-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,26.78,19,31,5.5,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
03-02-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,25.67,21,28,6.1,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
04-02-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,28.89,24,32,5.2,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
05-02-2020,,Dominican Republic,0,0,0,0,18.7357,-70.1627,28.17,23,31,5.6,0,0,10847910,225,28,1.03,5.92,1.6,0.4,0.000,9.5,13.57,69.7,73.1,Not Reported,N/A,6.569,N/A
