Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,26.39,19.78,33,4.4,99.99,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
23-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,24.44,19.78,32.11,4.5,0.43,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
24-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,24.39,21,30.11,2.7,0,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
25-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,22.33,20,31.61,3.3,0.03,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
26-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,24.94,18.72,33,3.6,0.39,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
27-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,27.89,19.61,34.11,4.3,0.2,0,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
28-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,25.33,20,30.11,5.1,0,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
29-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,21.94,19,30.28,1.6,1.3,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
30-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,23.56,19.22,31,3.5,1.85,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
31-01-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,24.22,21,28,4.2,0,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
01-02-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,20.39,19,22.72,4.8,0.51,1,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
02-02-2020,,Ecuador,0,0,0,0,-1.8312,-78.1834,25.5,16.61,32.28,4.5,2.05,0,17643054,71,28,0.99,7.67%,1.5,0.375,0.000,18.85,30.17,74.2,80.3,7982,N/A,2.535,12.719
