Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Egypt,0,0,0,0,26,30,13.33,5.61,18.22,4.6,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
23-01-2020,,Egypt,0,0,0,0,26,30,14,5.22,19.61,2.3,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
24-01-2020,,Egypt,0,0,0,0,26,30,13,4.61,19.72,3.4,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
25-01-2020,,Egypt,0,0,0,0,26,30,13.89,7.61,20.22,4,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
26-01-2020,,Egypt,0,0,0,0,26,30,14.72,9.11,21,3.3,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
27-01-2020,,Egypt,0,0,0,0,26,30,13.28,3.61,22.78,1.6,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
28-01-2020,,Egypt,0,0,0,0,26,30,14.28,3,24.61,2.2,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
29-01-2020,,Egypt,0,0,0,0,26,30,12.44,4,21.78,3,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
30-01-2020,,Egypt,0,0,0,0,26,30,13.39,3,22.22,4.5,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
31-01-2020,,Egypt,0,0,0,0,26,30,15.17,5.61,21.39,5,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
01-02-2020,,Egypt,0,0,0,0,26,30,15,4.78,22.61,3.1,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
02-02-2020,,Egypt,0,0,0,0,26,30,14.33,6.22,23.22,2.1,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
03-02-2020,,Egypt,0,0,0,0,26,30,14.89,6.39,23.61,2.9,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
04-02-2020,,Egypt,0,0,0,0,26,30,13.78,8.78,23.22,2.1,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
05-02-2020,,Egypt,0,0,0,0,26,30,15.44,6.61,25.72,2,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
06-02-2020,,Egypt,0,0,0,0,26,30,19.39,9,27.28,2.2,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
07-02-2020,,Egypt,0,0,0,0,26,30,15.28,8,23.22,4.5,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
08-02-2020,,Egypt,0,0,0,0,26,30,12.44,6.39,19.39,4.9,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
09-02-2020,,Egypt,0,0,0,0,26,30,12.78,3.78,19.39,3.9,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
10-02-2020,,Egypt,0,0,0,0,26,30,12.11,5,17.39,8,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
11-02-2020,,Egypt,0,0,0,0,26,30,11.56,4.39,19,4.6,0,0,102334404,103,25,1.05,4.28,1.6,0.4,0.0000,19.19,27.17,71.8,74.7,25250,6.18,11.346,N/A
