Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,29.33,26,37,4,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
23-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,28.83,26,32,2.8,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
24-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,28.39,26,31,1.4,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
25-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,27.89,25,31,2,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
26-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,28.17,25,31,3.1,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
27-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,27.78,26,30,3.2,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
28-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,29.11,26,31,3.3,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
29-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,29.06,26,32,3.3,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
30-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,27.83,26,30,2.3,0,0,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
31-01-2020,,Equatorial Guinea,0,0,0,0,1.5,10,29.11,27,31,3.7,0,1,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
01-02-2020,,Equatorial Guinea,0,0,0,0,1.5,10,29.11,27,31,3.7,0,1,1402985,50,22,0.99,3.94,2.1,0.525,0.000,32,50.58,63.8,66.2,Not Reported,N/A,N/A,N/A
