Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.67,-1,5.89,5.5,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
23-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,0.33,-3.5,2.89,4.6,0,0,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
24-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.83,1.11,5.11,5.1,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
25-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.17,-1.5,5.11,5.3,0,0,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
26-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.67,-1.5,5.5,6.2,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
27-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,4,3.28,5.5,3.1,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
28-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,2.28,0.28,4.72,5.3,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
29-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,0.67,-0.22,2.78,6.1,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
30-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,1,0.28,1.78,4.2,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
31-01-2020,,Estonia,0,0,0,0,58.5953,25.0136,0.78,0.22,1.61,4.4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
01-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,2.06,0.22,5.5,4.5,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
02-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,4.06,0.22,5.61,5.8,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
03-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-0.06,-2.89,5.39,4.7,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
04-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-3.78,-7.22,1.89,3.1,0,0,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
05-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-2.06,-7.89,2.11,5.6,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
06-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-2.44,-4.61,2.11,5.7,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
07-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-2.89,-8.22,1,4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
08-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.39,-2.22,1.89,4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
09-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,2.67,0.78,4.61,6.9,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
10-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.17,0.72,5,8.8,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
11-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,2.39,0.28,5,6.1,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
12-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.67,0.28,3.5,4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
13-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.83,-0.61,4.5,4.5,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
14-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,-0.17,-4.78,4.5,2.8,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
15-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,0.22,-4.78,4.11,5.7,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
16-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.44,0.22,7.61,8.1,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
17-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,6.11,3.22,8.72,11.3,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
18-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,5.33,4,6.28,9.5,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
19-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.33,0.72,6.28,6.6,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
20-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,1,-1.22,4.22,3.4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
21-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,1.94,-1.22,3.22,7,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
22-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.28,1.61,4.5,10.3,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
23-02-2020,,Estonia,0,0,0,0,58.5953,25.0136,3.22,1.39,4.78,7.4,99.99,1,1326535,31,42,0.88,20.2,5,1.25,0.0000,3.59,18.36,72.3,82,15725,N/A,2.141,N/A
