Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,22.33,19,25,5.8,0.01,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
23-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,25.06,19.89,29.72,3.8,0.01,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
24-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,22.78,20.22,26,1.7,0,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
25-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,24.78,21,30.28,2.4,0.01,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
26-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,28.5,19.28,37.61,2.2,0,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
27-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,23.22,20,37.61,4.7,0,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
28-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,24.11,19,31.39,2.2,0,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
29-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,26.06,18,36.39,1.8,0.01,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
30-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,26.44,21.5,36.39,2.7,0.01,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
31-01-2020,,Eswatini,0,0,0,0,-26.5225,31.4659,26.72,18.28,35.78,2.2,0,0,1160164,67,21,1,3.77,0.88,0.22,0,39.63,N/A,N/A,55.1,59.3,Not reported,N/A,1.277,0.237
