Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,23.06,10.61,29.39,5.8,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
23-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,25.39,13.61,30,6.8,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
24-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.61,13.78,30.22,7.8,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
25-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.61,13.78,30.22,7.8,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
26-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,21.28,13.39,23,7,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
27-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,21.28,13.39,23,7,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
28-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,23.33,13.61,31,7,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
29-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,23.33,13.61,31,7,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
30-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.06,16,32.22,5.4,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
31-01-2020,,Ethiopia,0,0,0,0,9.145,40.4897,25.89,13,32,999.9,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
01-02-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.22,14.22,30.61,999.9,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
02-02-2020,,Ethiopia,0,0,0,0,9.145,40.4897,27.28,22.61,31.39,5.8,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
03-02-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.78,14.22,31.61,999.9,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
04-02-2020,,Ethiopia,0,0,0,0,9.145,40.4897,26.78,14.22,31.61,999.9,0,0,114963588,115,19,0.99,2.97,0.3,0.075,0.000000,13.55,24.28,60.5,65.5,718,N/A,0.849,N/A
