Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Finland,0,0,0,0,64,26,0.06,-1.72,1.89,7.8,0.02,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
23-01-2020,,Finland,0,0,0,0,64,26,-1.83,-3.89,0.72,7.5,0.03,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
24-01-2020,,Finland,0,0,0,0,64,26,0.78,-0.28,1.61,5.8,0.08,0,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
25-01-2020,,Finland,0,0,0,0,64,26,-0.78,-3.28,0.89,8.3,0.01,0,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
26-01-2020,,Finland,0,0,0,0,64,26,-1,-3.89,2.22,6.1,0.19,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
27-01-2020,,Finland,0,0,0,0,64,26,-5.5,-7.78,-3.89,4.9,0.03,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
28-01-2020,,Finland,0,0,0,0,64,26,-2.22,-5.28,0.39,5.8,0.28,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
29-01-2020,,Finland,1,0,1,0,64,26,-0.5,-1.39,0.5,6.6,0.03,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
30-01-2020,,Finland,1,0,0,0,64,26,-1.28,-1.61,-0.61,5.6,0,0,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
31-01-2020,,Finland,1,0,0,0,64,26,-2.22,-3.78,-1.28,5.8,0.01,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
01-02-2020,,Finland,1,0,0,0,64,26,-2.61,-5,2.39,8.7,0.02,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
02-02-2020,,Finland,1,0,0,0,64,26,1.83,-1.61,3.28,9.5,0.35,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
03-02-2020,,Finland,1,0,0,0,64,26,-0.56,-2.22,0.5,9,0.01,0,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
04-02-2020,,Finland,1,0,0,0,64,26,-5.17,-7,-3.22,8.3,0,0,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
05-02-2020,,Finland,1,0,0,0,64,26,-4.56,-11,-0.39,6.8,0.04,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
06-02-2020,,Finland,1,0,0,0,64,26,-4.83,-7.28,-1.72,8.7,0.02,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
07-02-2020,,Finland,1,0,0,0,64,26,-5.94,-9.72,-2.78,5.3,0.01,1,5540720,18,43,0.97,21.51,4.4,1.1,0.000,5.47,15.97,78.1,84.2,24200,10.48,3.224,N/A
