Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.33,20.78,30,4.6,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
23-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,24.28,18.61,31,3.4,0.01,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
24-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,24.72,20,30.61,3.8,0.01,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
25-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,24.22,5537.72,30.89,4,0.16,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
26-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,24,5537.72,28,4.2,1.18,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
27-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.83,23,30,4.8,0.94,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
28-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,27.44,24.89,30.39,5.7,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
29-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,28.06,26,30.72,8.7,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
30-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.39,5537.72,30.78,7.2,0,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
31-01-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.67,5537.72,30.11,9.7,1.1,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
01-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.56,22,31,6.4,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
02-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.61,20,30.89,5,0.01,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
03-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.56,22,30.5,4.7,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
04-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,27.22,25,30,8.2,0.03,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
05-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,27.22,24,30.11,8.6,0,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
06-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.83,24,30,8.9,0.02,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
07-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.89,24.72,30.22,8.9,0.04,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
08-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.67,23.78,30.28,8.6,0.08,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
09-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,27.44,25.72,30,9.2,0.16,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
10-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.39,9,30.39,7.1,0.12,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
11-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,25.89,5537.72,29.22,8.7,0.67,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
12-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.5,23.89,30,6.9,0.03,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
13-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.28,22.89,29.61,6.3,0.08,1,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
14-02-2020,French Guiana,France,0,0,0,0,3.9339,-53.1258,26.61,23,30,6.5,0.03,0,291000,119,42,0.96,19.82,6.5,1.625,0,9.64,17.69,78.9,85.3,101046,44.474,89.322,268.152
