Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.83,22.72,31,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
23-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.72,22.28,31,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
24-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.94,25,31.11,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
25-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.61,23,32,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
26-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,30.06,24,35,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
27-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.94,23,32,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
28-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.33,21.5,30,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
29-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.22,21.11,30,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
30-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.83,22.22,30,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
31-01-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.94,22,30.11,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
01-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.56,24,32,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
02-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,31.17,22.5,35,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
03-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.11,21.11,31,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
04-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.83,21,32,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
05-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.78,21.39,32,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
06-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.33,21.72,30,0,0.12,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
07-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.94,20.72,30,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
08-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,25.61,22.11,28,0,99.99,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
09-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.39,23,32,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
10-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,29,23,33,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
11-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.06,24,28,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
12-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,25.94,20.78,30,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
13-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.5,23,31,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
14-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.67,22,31,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
15-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,30.5,24,35,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
16-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.94,22.22,31,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
17-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,22.06,21,23.22,999.9,0.12,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
18-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.06,20,31,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
19-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.33,22,29.28,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
20-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.56,19.89,32,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
21-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28.28,22.78,31,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
22-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.44,22,30.22,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
23-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28.28,21.11,33,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
24-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28.78,24,32,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
25-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,29.06,23.61,32.39,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
26-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,23.94,22,25,0,0.12,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
27-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28,24,32,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
28-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.72,22.22,32,0,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
29-02-2020,,Gabon,0,0,0,0,-0.8037,11.6094,25.5,23,27,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
01-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,29.44,22.61,34,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
02-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,26.56,23,29,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
03-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28.94,23,32.61,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
04-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,30.28,25,33,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
05-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,29.06,24,32.11,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
06-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,29.22,23.28,33,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
07-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,25.5,21.78,29,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
08-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.56,20.78,32,0,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
09-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.22,24,30,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
10-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,28.5,25,30.78,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
11-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,27.67,24,31.61,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
12-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,25.39,22,28,999.9,0.04,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
13-03-2020,,Gabon,0,0,0,0,-0.8037,11.6094,30.33,24,36,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0000,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
14-03-2020,,Gabon,1,0,1,0,-0.8037,11.6094,30.33,24,36,999.9,0,1,2225734,9,23,0.99,3.91,6.3,1.575,0.0004,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
15-03-2020,,Gabon,1,0,0,0,-0.8037,11.6094,26.56,21.78,31,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0004,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
16-03-2020,,Gabon,1,0,0,0,-0.8037,11.6094,27.28,24,31.11,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0004,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
17-03-2020,,Gabon,1,0,0,0,-0.8037,11.6094,27.67,24,31,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0004,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
18-03-2020,,Gabon,1,0,0,0,-0.8037,11.6094,29,24,33,999.9,0,0,2225734,9,23,0.99,3.91,6.3,1.575,0.0004,19.5,35.62,66.3,69.6,Not Reported,N/A,N/A,N/A
