Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,26.67,20.61,33,2,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
23-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,25.17,21,30,3.7,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
24-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,30.89,24,38,5.2,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
25-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,28.44,20,38,4.2,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
26-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,27.17,17.5,37,4.9,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
27-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,29.17,17,40,3.3,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
28-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,27.11,16,39,2.2,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
29-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,26.22,17,38.22,1.8,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
30-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,26.39,16.61,37,2.3,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
31-01-2020,,Gambia,0,0,0,0,13.4432,-15.3101,28,14.39,40,4,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
01-02-2020,,Gambia,0,0,0,0,13.4432,-15.3101,30.89,18,41,2.5,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
02-02-2020,,Gambia,0,0,0,0,13.4432,-15.3101,27.89,21.5,38,3.4,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
03-02-2020,,Gambia,0,0,0,0,13.4432,-15.3101,28.83,19.72,38.22,2.9,0,0,2416668,239,18,0.98,3.55,1.1,0.275,0,N/A,N/A,63,67.8,102,0.209,0.209,N/A
