Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,1.94,0,6,5.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
23-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-0.28,-3,1,1.7,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
24-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-3.78,-10,2,4.4,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
25-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-6.11,-12,0.72,3.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
26-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-5.22,-12,2.72,2.7,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
27-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-2.06,-6,4.22,3.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
28-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,-0.72,-6,6.28,2.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
29-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,1.72,0,5,2.2,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
30-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,3.94,0,9,3.3,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
31-01-2020,,Georgia,0,0,0,0,42.3154,43.3569,2.17,0,4,3.6,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
01-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,1.22,-1,5,2.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
02-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,2,-2,5,2.8,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
03-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,1.83,1,3,2.8,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
04-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,0.22,-1,2,2.2,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
05-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,0.72,-3,5,4.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
06-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,3.67,0,9.22,2.8,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
07-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,1.72,0,3,2.4,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
08-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-1.11,-6,1,5.1,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
09-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-6.89,-11,-1.11,3.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
10-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-7.44,-14,-1,4.2,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
11-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-5.39,-13,5.89,4.4,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
12-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-4.5,-9,-1.72,3.7,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
13-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-1.06,-4,2,2.1,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
14-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-1,-5,2,3.3,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
15-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-0.06,-6,7.28,6.3,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
16-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,-1.72,-8,7,3.2,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
17-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,0.06,-9,9,5.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
18-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,4.11,-3,14,4.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
19-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,2.78,-4,13.61,2.8,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
20-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,2.89,-2,10,3.4,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
21-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,4.89,-1,16,3.3,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
22-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,5.94,-2,15.11,5.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
23-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,5.33,3,8,2.9,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
24-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,6.17,1,12,4.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
25-02-2020,,Georgia,0,0,0,0,42.3154,43.3569,3.5,0,6.22,6.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
26-02-2020,,Georgia,1,0,1,0,42.3154,43.3569,3.94,-3,13,5.2,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000250679,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
27-02-2020,,Georgia,1,0,0,0,42.3154,43.3569,6.61,-4,19,3,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000250679,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
28-02-2020,,Georgia,1,0,0,0,42.3154,43.3569,6.28,0,15,4.7,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000250679,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
29-02-2020,,Georgia,1,0,0,0,42.3154,43.3569,7.83,1,16,5,0,1,3989167,57,38,0.92,16.27,2.6,0.65,0.000250679,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
01-03-2020,,Georgia,3,0,2,0,42.3154,43.3569,5.44,4,7,3.8,99.99,1,3989167,57,38,0.92,16.27,2.6,0.65,0.000752037,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
02-03-2020,,Georgia,3,0,0,0,42.3154,43.3569,6,0,13,2.9,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000752037,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
03-03-2020,,Georgia,3,0,0,0,42.3154,43.3569,6.61,-1,17.28,3.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000752037,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
04-03-2020,,Georgia,3,0,0,0,42.3154,43.3569,8.72,-1,23,3.5,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.000752037,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
05-03-2020,,Georgia,4,0,1,0,42.3154,43.3569,10.67,-1,25,3.7,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.001002716,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
06-03-2020,,Georgia,4,0,0,0,42.3154,43.3569,13.5,4,24,6.9,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.001002716,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
07-03-2020,,Georgia,4,0,0,0,42.3154,43.3569,12.89,8,18,8.9,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.001002716,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
08-03-2020,,Georgia,13,0,9,0,42.3154,43.3569,11.78,4,24,3.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.003258826,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
09-03-2020,,Georgia,15,0,2,0,42.3154,43.3569,13.89,1,25,8.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.003760184,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
10-03-2020,,Georgia,15,0,0,0,42.3154,43.3569,15.11,6,25,8.1,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.003760184,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
11-03-2020,,Georgia,24,0,9,0,42.3154,43.3569,12.39,2,23.5,4.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.006016294,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
12-03-2020,,Georgia,24,0,0,0,42.3154,43.3569,11.33,5,22,5.6,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.006016294,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
13-03-2020,,Georgia,25,0,1,0,42.3154,43.3569,12.11,3,20.11,5.9,0,0,3989167,57,38,0.92,16.27,2.6,0.65,0.006266973,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
14-03-2020,,Georgia,30,0,5,0,42.3154,43.3569,10.89,8,14,4.6,0.16,0,3989167,57,38,0.92,16.27,2.6,0.65,0.007520367,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
15-03-2020,,Georgia,33,0,3,0,42.3154,43.3569,10.89,5,17.89,4.5,0.05,0,3989167,57,38,0.92,16.27,2.6,0.65,0.008272404,15.96,34.46,72.5,80.9,16181,N/A,"7,203","13,138"
