Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Germany,0,0,0,0,51,9,-2.72,-7,1,0.8,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000000,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
23-01-2020,,Germany,0,0,0,0,51,9,0.06,-4,2,1.6,0,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000000,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
24-01-2020,,Germany,0,0,0,0,51,9,-0.83,-4,0,6.5,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0000000,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
25-01-2020,,Germany,0,0,0,0,51,9,-0.56,-1,0,5.4,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0000000,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
26-01-2020,,Germany,0,0,0,0,51,9,0.94,-1,3,5.5,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000000,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
27-01-2020,,Germany,1,0,1,0,51,9,5.33,3,7,9.2,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000119,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
28-01-2020,,Germany,4,0,3,0,51,9,4.44,2,6,11.6,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000477,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
29-01-2020,,Germany,4,0,0,0,51,9,3.06,2,6,8.9,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000477,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
30-01-2020,,Germany,4,0,0,0,51,9,6.06,3,8,11.7,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000477,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
31-01-2020,,Germany,5,0,1,0,51,9,11.56,9,14,8.9,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000597,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
01-02-2020,,Germany,8,0,3,0,51,9,10.22,8,12,11.1,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0000955,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
02-02-2020,,Germany,10,0,2,0,51,9,8.72,6,12,9.2,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001194,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
03-02-2020,,Germany,12,0,2,0,51,9,9.22,6,11,9.3,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001432,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
04-02-2020,,Germany,12,0,0,0,51,9,3.94,2,6,6,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001432,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
05-02-2020,,Germany,12,0,0,0,51,9,2.61,-1,7,6.2,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001432,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
06-02-2020,,Germany,12,0,0,0,51,9,1.56,-2,5,2.6,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001432,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
07-02-2020,,Germany,13,0,1,0,51,9,2.33,-2,6,3.5,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001552,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
08-02-2020,,Germany,13,0,0,0,51,9,2.33,-3,6,4.4,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001552,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
09-02-2020,,Germany,14,0,1,0,51,9,8.39,4,12,18.7,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001671,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
10-02-2020,,Germany,14,0,0,0,51,9,7.11,3,12,18.8,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001671,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
11-02-2020,,Germany,16,0,2,0,51,9,3.89,2,6,16,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
12-02-2020,,Germany,16,0,0,0,51,9,3.5,1,7,12.6,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
13-02-2020,,Germany,16,0,0,0,51,9,2.72,0,5,6.9,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
14-02-2020,,Germany,16,0,0,0,51,9,4.5,1,7,4.9,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
15-02-2020,,Germany,16,0,0,0,51,9,6.67,3,10,9.8,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
16-02-2020,,Germany,16,0,0,0,51,9,12,9,15,19,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
17-02-2020,,Germany,16,0,0,0,51,9,7.5,5,9,11.1,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
18-02-2020,,Germany,16,0,0,0,51,9,5.89,5,8,12.2,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
19-02-2020,,Germany,16,0,0,0,51,9,4.44,1,7,9.5,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
20-02-2020,,Germany,16,0,0,0,51,9,5.72,3,8,10.5,99.99,1,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
21-02-2020,,Germany,16,0,0,0,51,9,5.61,4,8,11.3,0,0,83783942,240,46,0.97,22.36,8.3,2.075,0.0001910,16.32,24.67,78.6,83.4,918460,N/A,"38,881",N/A
