Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,26.83,22.39,36,1,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
23-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,30.22,22.11,38.11,3.3,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
24-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29.11,19.5,37.11,4,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
25-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,25.89,17.39,37.5,3.4,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
26-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,22.72,17,34.5,2.2,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
27-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,26.17,18.72,35.39,2.8,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
28-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29.61,23.78,34.28,3,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
29-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29.61,20,36.61,2.8,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
30-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,30.28,21,36.72,2.3,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
31-01-2020,,Ghana,0,0,0,0,7.9465,-1.0232,21.78,18.72,26.61,0.7,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
01-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29.56,20.78,37.5,3,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
02-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29,21.78,36.28,1.8,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
03-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,27.67,21.5,35.5,4,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
04-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,32.11,27,35.5,2.9,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
05-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,31.22,26,35.28,2.8,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
06-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,31.22,26,35.78,3.4,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
07-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,32.56,25.28,37.5,3.4,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
08-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,29,20.61,36.22,2.8,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
09-02-2020,,Ghana,0,0,0,0,7.9465,-1.0232,28.94,22,36.5,1.9,0,0,31072940,137,22,0.97,4.3,0.9,0.225,0,17.95,25.11,64.9,70,2519,N/A,N/A,N/A
