Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Greece,0,0,0,0,39.0742,21.8243,4.17,-2.5,13.28,2.4,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
23-01-2020,,Greece,0,0,0,0,39.0742,21.8243,4.89,-4.28,18.5,2,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
24-01-2020,,Greece,0,0,0,0,39.0742,21.8243,4.22,-0.78,13.28,4.2,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
25-01-2020,,Greece,0,0,0,0,39.0742,21.8243,5.33,-2.11,14.72,2.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
26-01-2020,,Greece,0,0,0,0,39.0742,21.8243,8.06,1.78,15.11,1.8,99.99,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
27-01-2020,,Greece,0,0,0,0,39.0742,21.8243,9.72,6.28,13.78,4.1,99.99,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
28-01-2020,,Greece,0,0,0,0,39.0742,21.8243,8.11,-1,17,2.3,0.03,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
29-01-2020,,Greece,0,0,0,0,39.0742,21.8243,15.33,11.22,19,3.4,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
30-01-2020,,Greece,0,0,0,0,39.0742,21.8243,12.44,4.61,20.61,4.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
31-01-2020,,Greece,0,0,0,0,39.0742,21.8243,5.83,-2.39,16,0.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
01-02-2020,,Greece,0,0,0,0,39.0742,21.8243,8.72,0.78,18,0.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
02-02-2020,,Greece,0,0,0,0,39.0742,21.8243,8.44,0,18.28,0.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
03-02-2020,,Greece,0,0,0,0,39.0742,21.8243,9.33,0.61,19.39,0.9,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
04-02-2020,,Greece,0,0,0,0,39.0742,21.8243,11.11,1.39,19,1.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
05-02-2020,,Greece,0,0,0,0,39.0742,21.8243,6.33,5,9.61,6.5,0.11,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
06-02-2020,,Greece,0,0,0,0,39.0742,21.8243,4.89,0,8,10.1,0.3,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
07-02-2020,,Greece,0,0,0,0,39.0742,21.8243,3.06,-4,9,2,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
08-02-2020,,Greece,0,0,0,0,39.0742,21.8243,2.39,-3.22,9.39,2.5,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
09-02-2020,,Greece,0,0,0,0,39.0742,21.8243,3.17,-4,11,0.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
10-02-2020,,Greece,0,0,0,0,39.0742,21.8243,6.28,-4,16.22,2.3,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
11-02-2020,,Greece,0,0,0,0,39.0742,21.8243,15.89,8.28,22.11,7.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
12-02-2020,,Greece,0,0,0,0,39.0742,21.8243,15,9.5,22.22,6.4,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
13-02-2020,,Greece,0,0,0,0,39.0742,21.8243,10.83,5.11,18.72,3.5,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
14-02-2020,,Greece,0,0,0,0,39.0742,21.8243,9.72,5.11,12.89,2.6,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
15-02-2020,,Greece,0,0,0,0,39.0742,21.8243,10.83,9.61,12.61,6.2,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
16-02-2020,,Greece,0,0,0,0,39.0742,21.8243,8.67,3.61,12.72,1.7,99.99,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
17-02-2020,,Greece,0,0,0,0,39.0742,21.8243,7.83,1.61,17.89,3.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
18-02-2020,,Greece,0,0,0,0,39.0742,21.8243,7.56,-0.61,17.89,3.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
19-02-2020,,Greece,0,0,0,0,39.0742,21.8243,8.89,0.5,17.72,2.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
20-02-2020,,Greece,0,0,0,0,39.0742,21.8243,9.89,6.5,19.11,7.2,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
21-02-2020,,Greece,0,0,0,0,39.0742,21.8243,7.44,2,13.11,3.2,0.3,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
22-02-2020,,Greece,0,0,0,0,39.0742,21.8243,6.72,1,12,5.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
23-02-2020,,Greece,0,0,0,0,39.0742,21.8243,9.39,2.22,16.72,5,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
24-02-2020,,Greece,0,0,0,0,39.0742,21.8243,10.5,1,18.22,3.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
25-02-2020,,Greece,0,0,0,0,39.0742,21.8243,10.83,2.5,20,3.7,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
26-02-2020,,Greece,1,0,1,0,39.0742,21.8243,11.11,1.28,22.78,3.3,0,0,10423054,81,46,0.95,21.14,4.3,1.075,9.59E-05,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
27-02-2020,,Greece,3,0,2,0,39.0742,21.8243,14.06,10.28,21.61,11.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000287824,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
28-02-2020,,Greece,4,0,1,0,39.0742,21.8243,11.72,2.89,19,4.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000383765,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
29-02-2020,,Greece,4,0,0,0,39.0742,21.8243,9.83,4.11,17.5,6.4,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000383765,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
01-03-2020,,Greece,7,0,3,0,39.0742,21.8243,7.83,-0.78,17.78,3.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000671588,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
02-03-2020,,Greece,7,0,0,0,39.0742,21.8243,11,1.72,23,2.3,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000671588,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
03-03-2020,,Greece,7,0,0,0,39.0742,21.8243,14.83,4,26.61,5.1,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000671588,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
04-03-2020,,Greece,9,0,2,0,39.0742,21.8243,15.11,11.28,20.39,6.5,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.000863471,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
05-03-2020,,Greece,31,0,22,0,39.0742,21.8243,11.83,4.78,19.61,5.7,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.002974176,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
06-03-2020,,Greece,45,0,14,0,39.0742,21.8243,10.28,0.5,20.72,1.7,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.004317353,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
07-03-2020,,Greece,46,0,1,0,39.0742,21.8243,13.44,3.78,23,4.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.004413294,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
08-03-2020,,Greece,73,0,27,0,39.0742,21.8243,13.89,10,19.5,5.1,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0.007003705,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
09-03-2020,,Greece,73,0,0,0,39.0742,21.8243,9.83,8.22,14.11,1.5,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0.007003705,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
10-03-2020,,Greece,89,0,16,0,39.0742,21.8243,12.11,6.89,19.5,6.6,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.008538764,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
11-03-2020,,Greece,99,1,10,1,39.0742,21.8243,10.67,3.5,19.11,3,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.009498176,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
12-03-2020,,Greece,99,1,0,0,39.0742,21.8243,12.89,5.22,22.72,4,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.009498176,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
13-03-2020,,Greece,190,1,91,0,39.0742,21.8243,14.61,6,25.72,3.5,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.018228822,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
14-03-2020,,Greece,228,3,38,2,39.0742,21.8243,13.89,5.39,23.11,3.7,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.021874587,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
15-03-2020,,Greece,331,4,103,1,39.0742,21.8243,10.94,7.28,16.11,6.1,99.99,1,10423054,81,46,0.95,21.14,4.3,1.075,0.031756527,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
16-03-2020,,Greece,331,4,0,0,39.0742,21.8243,7.44,2.39,12.39,4.1,0,1,10423054,81,46,0.95,21.14,4.3,1.075,0.031756527,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
17-03-2020,,Greece,387,5,56,1,39.0742,21.8243,7.33,0.11,18,4.8,0,0,10423054,81,46,0.95,21.14,4.3,1.075,0.037129233,18.3,23.49,78.2,83.6,15961,N/A,"30,123","26,301"
