Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Not Reported,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,15.61,12,21,2.8,0,1,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
23-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,20.67,11,27,3.7,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
24-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,18.67,11,24,4.6,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
25-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,19.67,14,24,4,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
26-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,19.67,9,27,3,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
27-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,19.61,13,25,2.6,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
28-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,21.83,13,29,6.3,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
29-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,22.06,17,28,5.9,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
30-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,20.67,14,27,4.8,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
31-01-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,23.17,13,30,5.4,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
01-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,18.17,17,23,2,0,1,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
02-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,15.67,13,20,4.7,0,1,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
03-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,18.56,10,26,4.8,0,1,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
04-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,20.83,15,28,2.6,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
05-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,23.89,14,31,4.7,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
06-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,25.22,17,31,4.2,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
07-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,22.06,16,27,3.6,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
08-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,20.83,15,25,3.1,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
09-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,17.39,11,22,3.3,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
10-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,20.56,13,25,2.5,0,0,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
11-02-2020,,Guatemala,0,0,0,0,15.7835,-90.2308,21.06,11,26,4.3,0,1,17915568,167,23,0.97,4.46,0.6,0.15,0,18.54,24.42,69.8,73.9,Not Reported,1.536,2.406,N/A
