Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,26.78,22,31.61,999.9,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
23-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,26.06,19.5,34,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
24-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,26.83,17.5,34.11,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
25-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24.67,15.5,35.61,999.9,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
26-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24.61,14.11,36,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
27-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24.72,13.5,34.78,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
28-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24,15.5,32.61,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
29-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24.5,13.5,34.22,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
30-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,25.78,13.39,35.61,999.9,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
31-01-2020,,Guinea,0,0,0,0,9.9456,-9.6966,25.5,14,36,0,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
01-02-2020,,Guinea,0,0,0,0,9.9456,-9.6966,24.94,16.39,34.72,999.9,0,0,13132795,53,18,1,3.85,4.024199963,1.006049991,0,24.24,26.7,60.4,64,N/A,N/A,N/A,N/A
