Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Guyana,0,0,0,0,5,-58.75,25.33,20.5,31,6.3,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
23-01-2020,,Guyana,0,0,0,0,5,-58.75,25.56,19.61,31.28,5.3,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
24-01-2020,,Guyana,0,0,0,0,5,-58.75,24.83,19,32.5,4.9,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
25-01-2020,,Guyana,0,0,0,0,5,-58.75,25,19.61,32.28,6.3,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
26-01-2020,,Guyana,0,0,0,0,5,-58.75,26.33,22,31,6.8,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
27-01-2020,,Guyana,0,0,0,0,5,-58.75,25.56,22.11,29,5.4,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
28-01-2020,,Guyana,0,0,0,0,5,-58.75,26.39,22,31.22,6.4,0.16,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
29-01-2020,,Guyana,0,0,0,0,5,-58.75,26.5,23.28,32.61,5.9,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
30-01-2020,,Guyana,0,0,0,0,5,-58.75,26.33,22.39,31.22,5.9,0.1,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
31-01-2020,,Guyana,0,0,0,0,5,-58.75,26.5,22.72,31,7.8,0.02,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
01-02-2020,,Guyana,0,0,0,0,5,-58.75,26.78,21.5,31.5,7.6,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
02-02-2020,,Guyana,0,0,0,0,5,-58.75,25.94,22,31.5,7.2,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
03-02-2020,,Guyana,0,0,0,0,5,-58.75,25.72,19.5,32,6.1,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
04-02-2020,,Guyana,0,0,0,0,5,-58.75,25.39,20,32,7,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
05-02-2020,,Guyana,0,0,0,0,5,-58.75,26.33,21.78,32.22,8.1,0.01,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
06-02-2020,,Guyana,0,0,0,0,5,-58.75,26.22,20,32,7.3,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
07-02-2020,,Guyana,0,0,0,0,5,-58.75,25.22,19.39,31.39,7,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
08-02-2020,,Guyana,0,0,0,0,5,-58.75,25.33,18.22,31,6.1,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
09-02-2020,,Guyana,0,0,0,0,5,-58.75,24.5,18.22,32,6.3,0.02,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
10-02-2020,,Guyana,0,0,0,0,5,-58.75,25.11,19,31,6.7,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
11-02-2020,,Guyana,0,0,0,0,5,-58.75,24.17,20,32,5.7,0.11,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
12-02-2020,,Guyana,0,0,0,0,5,-58.75,25.44,22.61,30.22,5.8,0.24,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
13-02-2020,,Guyana,0,0,0,0,5,-58.75,25.94,20.5,31,7.2,0.02,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
14-02-2020,,Guyana,0,0,0,0,5,-58.75,25.17,21,31.61,7.1,0.02,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
15-02-2020,,Guyana,0,0,0,0,5,-58.75,25.94,19.89,32,6.4,0.09,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
16-02-2020,,Guyana,0,0,0,0,5,-58.75,25.78,20.28,32,6.2,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
17-02-2020,,Guyana,0,0,0,0,5,-58.75,26.89,21,32,7.4,0.05,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
18-02-2020,,Guyana,0,0,0,0,5,-58.75,25.89,21,32.61,8.3,0.04,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
19-02-2020,,Guyana,0,0,0,0,5,-58.75,26.17,21,32.5,8,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
20-02-2020,,Guyana,0,0,0,0,5,-58.75,25.44,20.72,31,7,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
21-02-2020,,Guyana,0,0,0,0,5,-58.75,26,21.28,32.28,6.2,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
22-02-2020,,Guyana,0,0,0,0,5,-58.75,26.11,20.22,32.39,5.9,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
23-02-2020,,Guyana,0,0,0,0,5,-58.75,26.17,23.5,32.89,5.2,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
24-02-2020,,Guyana,0,0,0,0,5,-58.75,26.5,23.11,31,7.5,0.12,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
25-02-2020,,Guyana,0,0,0,0,5,-58.75,26.11,20.5,32,6.6,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
26-02-2020,,Guyana,0,0,0,0,5,-58.75,26,19.39,33,7.1,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
27-02-2020,,Guyana,0,0,0,0,5,-58.75,26.17,19.22,32,7.9,0,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
28-02-2020,,Guyana,0,0,0,0,5,-58.75,25.72,21,32.39,8.2,0,1,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
29-02-2020,,Guyana,0,0,0,0,5,-58.75,25.44,20.39,32.61,6.5,0.11,0,786552,4,27,1.02,6.39,1.6,0.4,0,19.99,32.36,,65.9,72.1,Not reported,N/A,0.287,N/A
