Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,21.78,16.89,29,2.7,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
23-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,21.56,16.89,27.5,1.2,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
24-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,23,18,28,0.4,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
25-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.61,16,29,2.5,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
26-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,22.22,15,29,2.6,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
27-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,22.67,17,30,0.7,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
28-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,25,21,31.28,0.3,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
29-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,25.33,19.5,33,1.3,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
30-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,26.11,19,33,2.3,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
31-01-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.22,18,31,0.8,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
01-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26,19,33.28,0.2,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
02-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.17,19,30,2.2,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
03-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,23.78,19.28,30,3.4,0.02,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
04-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,23.89,19.89,30,1.6,0.01,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
05-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,25.17,19.5,31,0.6,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
06-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.39,18,32.11,0.8,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
07-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.5,17,32.39,1.8,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
08-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,25.72,17,32.39,1.3,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
09-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,23.44,18.89,31.39,1.2,0,1,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
10-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,23.28,19,30,3,0,1,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
11-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.72,18.5,30,3.1,0.01,1,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
12-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.39,20,30.22,2.1,0.1,1,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
13-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.39,20,30.39,0.6,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
14-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.33,19,32,3.4,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
15-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.83,19.11,31.78,4.5,0.05,1,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
16-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,22.94,16,31.11,1.5,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
17-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,24.83,16,31.11,1.8,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
18-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26.17,20,32,2.5,0.02,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
19-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26.94,20,32.11,3.7,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
20-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26.17,20.11,32.39,2.8,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
21-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26.56,20,31,0.4,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
22-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,26,18,33,3.4,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
23-02-2020,,Honduras,0,0,0,0,15.2,-86.2419,25.83,18,32.89,1.3,0,0,9904607,89,24,1.01,4.41,0.7,0.175,0,22.03,20.76,69.6,73,Not Reported,N/A,N/A,N/A
