Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,-0.67,-4,2.61,6.2,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
23-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,-0.5,-6,6.28,3.4,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
24-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,-3.33,-7.39,-0.72,1.9,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
25-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,-1.78,-3.39,-1,1.5,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
26-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,-0.83,-2,1,4.1,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
27-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,0,-2,3,4.8,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
28-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,3,-0.39,6.28,7.3,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
29-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,2.78,0.78,5,7.1,0.34,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
30-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,3.5,0,7,8,0.03,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
31-01-2020,,Hungary,0,0,0,0,47.1625,19.5033,7.06,0,13,7.9,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
01-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,11.06,6,16,7.2,0.02,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
02-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,11.67,9,15,10.7,0.01,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
03-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,10.22,5.72,12,13.3,0.01,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
04-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,6.72,4,10,14.8,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
05-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,4.5,-1,9.11,16.1,0.22,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
06-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,1.11,-4,6.28,9.4,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
07-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,3.72,-1,9.39,7.8,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
08-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,-0.72,-6.28,5,3.5,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
09-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,1.33,-4.28,9,5.6,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
10-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,8.28,0.11,15.5,12.1,0.16,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
11-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,6.56,3,11.22,12.7,0.16,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
12-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,5.33,1.89,9,11.2,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
13-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,4.39,0,10,7,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
14-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,6.17,1.89,11,6.9,0.23,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
15-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,4.06,-1,10,3.3,0.01,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
16-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,4.67,-1,11.61,5.6,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
17-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,6.72,0.78,16,5.4,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
18-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,6.83,1,13.72,8.8,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
19-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,5.83,-2.28,12,4.9,99.99,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
20-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,4.5,-2,10,5.9,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
21-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,3.11,-3.22,8.5,10.1,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
22-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,3.89,-4.22,10,5.7,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
23-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,9.06,3.72,14.22,7.5,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
24-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,8.83,4,15,14.2,0,1,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
25-02-2020,,Hungary,0,0,0,0,47.1625,19.5033,10.06,1.78,17.28,8.1,0,0,9660351,107,43,0.91,19.5,7,1.75,0,19.86,39.93,72.6,80.2,16401,22.805,57.67,N/A
