Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,India,0,0,0,0,21,78,26.28,17.61,29.78,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
23-01-2020,,India,0,0,0,0,21,78,27.11,18.39,31,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
24-01-2020,,India,0,0,0,0,21,78,25.22,15.61,29.39,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
25-01-2020,,India,0,0,0,0,21,78,25.33,15.39,28,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
26-01-2020,,India,0,0,0,0,21,78,24.94,14,30.5,0.7,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
27-01-2020,,India,0,0,0,0,21,78,26.39,14,31.22,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
28-01-2020,,India,0,0,0,0,21,78,24.83,16.22,28.78,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
29-01-2020,,India,0,0,0,0,21,78,25.28,17,28.78,1.7,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000000,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
30-01-2020,,India,1,0,1,0,21,78,24,13.61,27.39,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000007,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
31-01-2020,,India,1,0,0,0,21,78,22.89,11.22,26.78,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000007,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
01-02-2020,,India,1,0,0,0,21,78,23.28,14.22,26.22,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000007,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
02-02-2020,,India,2,0,1,0,21,78,22.72,14,25.78,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000014,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
03-02-2020,,India,3,0,1,0,21,78,23.11,16.78,26,4.5,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
04-02-2020,,India,3,0,0,0,21,78,24.83,16,28.61,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
05-02-2020,,India,3,0,0,0,21,78,24.28,16.39,27.61,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
06-02-2020,,India,3,0,0,0,21,78,25.11,15.22,29.78,1.9,0.12,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
07-02-2020,,India,3,0,0,0,21,78,22.28,16,24.78,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
08-02-2020,,India,3,0,0,0,21,78,21.5,15.22,25.22,1.9,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
09-02-2020,,India,3,0,0,0,21,78,21.61,12.39,25.22,3.5,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
10-02-2020,,India,3,0,0,0,21,78,23.17,11.72,27.5,2.5,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
11-02-2020,,India,3,0,0,0,21,78,25.28,14,29,2.7,0,0,1380004385,464,28,1.08,6.39,0.7,0.175,0.0000022,87.54,106.89,67.8,70.5,47951,N/A,"17,423",N/A
