Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.56,24.11,35.28,1.7,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
23-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.06,23.89,34.61,2.2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
24-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.5,24.22,34.89,2.3,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
25-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.39,24.72,33.72,1,99.99,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
26-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,28.67,24.61,32.89,1.2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
27-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.22,25,35.11,1.5,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
28-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.56,25.61,32.78,2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
29-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,28.72,25.39,33,1,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
30-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,27.06,24.61,29.11,1.2,0,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
31-01-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,25.72,23.11,28.22,0.5,0.01,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
01-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.56,23.11,34.11,2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
02-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.67,24.28,34.72,3.3,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
03-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,28.22,24,33.22,1,0.43,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
04-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.06,24.5,33.5,1.2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
05-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,27.11,24.22,30.22,0.3,99.99,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
06-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.11,24.39,33.5,2.2,99.99,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
07-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,26.33,24,29.11,1.7,0.02,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
08-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.22,24.11,34.39,0.8,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
09-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,27.28,24.11,31,1.3,0.12,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
10-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,27.56,24.39,31.78,2.2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
11-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.78,23.22,34.78,2.4,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
12-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.39,23.39,35.28,1.5,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
13-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.78,24.11,33.78,2,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
14-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.5,24.22,34.78,2.1,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
15-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.78,25.39,34.61,0.5,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
16-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,26.89,24.5,33.5,1.3,1.61,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
17-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,26.17,21.22,31.72,0,0.63,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
18-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,27.83,23,32.5,0,0,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
19-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,28.28,24.22,33.61,1,99.99,1,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
20-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,28.83,23.5,33.39,1,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
21-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,29.94,23.78,33.78,2.8,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
22-02-2020,,Indonesia,0,0,0,0,-0.7893,113.9213,30.22,23.39,34.72,3,0,0,273523615,151,30,1,7.26,1.2,0.3,0,23.54,51.83,70.6,76,6663,N/A,15.81,303.403
