Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Iran,0,0,0,0,32,53,1.5,-4.11,6.39,6.1,0,1,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
23-01-2020,,Iran,0,0,0,0,32,53,0.89,-3.5,7,5.8,0.13,1,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
24-01-2020,,Iran,0,0,0,0,32,53,-0.89,-6.22,6.22,3.9,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
25-01-2020,,Iran,0,0,0,0,32,53,0.33,-6.22,7.22,4.6,0,1,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
26-01-2020,,Iran,0,0,0,0,32,53,-0.61,-3.78,4.28,4.6,0.09,1,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
27-01-2020,,Iran,0,0,0,0,32,53,0.28,-6.5,8.61,4.1,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
28-01-2020,,Iran,0,0,0,0,32,53,0.78,-6.11,9.61,4.6,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
29-01-2020,,Iran,0,0,0,0,32,53,3.61,-3.61,12.61,6.6,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
30-01-2020,,Iran,0,0,0,0,32,53,2.78,-1.61,7.89,6.8,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
31-01-2020,,Iran,0,0,0,0,32,53,2.89,-5.89,11.78,5.3,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
01-02-2020,,Iran,0,0,0,0,32,53,4.5,-2.22,10.72,15.5,0,0,83992949,52,32,1.03,5.48,1.5,0.375,0,16.47,20.99,72.8,75.6,80000,7.243,7.295,N/A
