Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Iraq,0,0,0,0,33,44,9.33,8.78,10.89,5.6,0.28,1,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
23-01-2020,,Iraq,0,0,0,0,33,44,10,7,14.72,3.9,0.01,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
24-01-2020,,Iraq,0,0,0,0,33,44,9.67,7,14,11.3,0,1,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
25-01-2020,,Iraq,0,0,0,0,33,44,8.89,5.78,12.5,6.6,0.55,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
26-01-2020,,Iraq,0,0,0,0,33,44,9.39,4.39,14.61,8,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
27-01-2020,,Iraq,0,0,0,0,33,44,8.67,2.72,15.39,5.2,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
28-01-2020,,Iraq,0,0,0,0,33,44,10.39,2,16.72,3.4,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
29-01-2020,,Iraq,0,0,0,0,33,44,12.72,8,18.89,6.5,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
30-01-2020,,Iraq,0,0,0,0,33,44,11.89,5.5,19,2.4,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
31-01-2020,,Iraq,0,0,0,0,33,44,13.5,6.89,20.5,10.3,0,1,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
01-02-2020,,Iraq,0,0,0,0,33,44,10.61,5.61,14.89,6.2,0.02,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
02-02-2020,,Iraq,0,0,0,0,33,44,9.44,4.11,15.22,4.7,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
03-02-2020,,Iraq,0,0,0,0,33,44,8.5,2.11,14.61,4.8,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
04-02-2020,,Iraq,0,0,0,0,33,44,11.06,2.78,18.39,4.6,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
05-02-2020,,Iraq,0,0,0,0,33,44,13.5,6,21,6,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
06-02-2020,,Iraq,0,0,0,0,33,44,16.33,7.61,23.61,5.7,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
07-02-2020,,Iraq,0,0,0,0,33,44,16.67,10.5,23.61,8.2,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
08-02-2020,,Iraq,0,0,0,0,33,44,15.06,11,20.39,9.1,0,1,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
09-02-2020,,Iraq,0,0,0,0,33,44,8.94,5,11.5,8.8,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
10-02-2020,,Iraq,0,0,0,0,33,44,4.28,0.28,8,7.8,0,0,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
11-02-2020,,Iraq,0,0,0,0,33,44,2.61,-1,6.89,6.7,0,1,40222493,93,21,1.02,3.55,1.4,0.35,0,0.69,18.37,72.6,77.2,Not Reported,N/A,N/A,N/A
