Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,4.28,0.11,6.78,3,0.01,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
23-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,6.06,5.28,7.28,2.1,0.04,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
24-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,5.78,5.22,6.5,4.2,0.02,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
25-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,5.22,4.22,5.72,6.3,0,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
26-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,7.17,4.22,9.22,9.4,0,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
27-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,6.56,4.11,8.39,7.3,0.03,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
28-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,3.83,2.61,5.72,14.9,0.33,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
29-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,4.94,2.11,7.39,14.7,0,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
30-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,8.22,5.78,11.72,11.9,0,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
31-01-2020,,Ireland,0,0,0,0,53.1424,-7.6921,9.89,7.39,11.72,13.4,0.01,0,4937786,72,38,1,13.32,2.8,0.7,0,23.02,27.25,78.7,83.5,30213,8.643,10.926,N/A
