Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Israel,0,0,0,0,31,35,8.17,6.78,13,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
23-01-2020,,Israel,0,0,0,0,31,35,10.17,5.78,14.78,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
24-01-2020,,Israel,0,0,0,0,31,35,8.72,5.61,12.89,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
25-01-2020,,Israel,0,0,0,0,31,35,7.83,3.28,14.28,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
26-01-2020,,Israel,0,0,0,0,31,35,8.89,2.5,16.39,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
27-01-2020,,Israel,0,0,0,0,31,35,10.33,3.61,18.61,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
28-01-2020,,Israel,0,0,0,0,31,35,11.61,7.72,17.11,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
29-01-2020,,Israel,0,0,0,0,31,35,12.11,8.72,16.89,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
30-01-2020,,Israel,0,0,0,0,31,35,11.67,6.11,18.78,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
31-01-2020,,Israel,0,0,0,0,31,35,11.17,7.61,16.72,999.9,0,0,8655535,400,30,1.01,11.55,3.1,0.775,0,12.81,20.23,80.8,84.7,82692,N/A,4.121,N/A
