Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.39,23.22,30.28,12.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
23-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,24.06,21,29,12.9,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
24-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,25.17,21,29.61,7.9,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
25-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.44,21.28,30,7.6,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
26-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,25.83,22,30,7.2,0.08,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
27-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,25.94,21.22,29.5,4.7,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
28-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.39,21.22,30.22,5.7,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
29-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.17,22.22,30.22,5.5,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
30-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.11,21.11,30.11,5.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
31-01-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.61,21.11,31.22,10.7,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
01-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.17,22.72,31.61,11.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
02-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.94,23,31.61,7.9,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
03-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.61,22.78,31.61,8.1,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
04-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.83,22.72,32.22,11.1,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
05-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.83,22.72,31.72,15.3,0.02,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
06-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.72,23.72,31,20.7,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
07-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,28.11,24.89,31,20.2,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
08-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.78,23.61,31.61,13.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
09-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.61,24,32,6.1,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
10-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.72,22.39,32,11.7,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
11-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.56,23.28,32.22,14.5,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
12-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.89,23.22,31.72,16.3,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
13-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,28.89,23.22,32.22,22.8,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
14-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.28,23.22,32.22,13.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
15-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.28,22.22,31.11,8,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
16-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.72,22.22,31,8.2,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
17-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.67,22.61,33.5,9.7,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
18-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,28.06,23,34,13.2,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
19-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.89,24.5,31.78,13.1,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
20-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.06,22.22,31.72,9.2,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
21-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.39,22.22,31.11,7.6,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
22-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.72,22.78,31,5.8,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
23-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.89,22,30.78,7.3,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
24-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.17,22,31.11,8,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
25-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,26.67,23.5,31.11,10.2,0,1,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
26-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.72,23.5,30.72,16.1,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
27-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.5,23.11,30.78,8.7,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
28-02-2020,,Jamaica,0,0,0,0,18.1096,-77.2975,27.72,23.11,31,6.1,0,0,2961167,273,31,0.98,8.71,1.7,0.425,0,6.33,26.44,72.7,76.5,442,N/A,2.473,N/A
