Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-6.61,-8,-5.61,18.5,99.99,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
23-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-3.28,-7.61,-2.39,27.2,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
24-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-2.89,-6.78,0.11,12.3,99.99,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
25-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-9.28,-11,-7.11,10.7,99.99,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
26-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-9.83,-11.22,-8.28,19.1,99.99,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
27-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-7.83,-11.22,-5.5,22,0.2,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
28-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-9.22,-17.28,-3.39,18.1,99.99,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
29-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-17.67,-20.61,-13.72,2.4,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
30-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-17.67,-21.39,-14.22,999.9,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
31-01-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-14.22,-19.28,-12.22,3.6,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
01-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-13.5,-16.61,-11.39,4.4,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
02-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-12.11,-16.78,-9,999.9,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
03-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-5.72,-12,0.5,999.9,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
04-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-2.72,-6.39,-1.22,9.2,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
05-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-2.44,-3.5,-1.22,6.8,0,1,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
06-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-6.94,-8.61,-5.5,999.9,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
07-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,-1,-7.39,1.5,11.7,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
08-02-2020,,Kazakhstan,0,0,0,0,48.0196,66.9237,4.83,-0.39,8.61,10.3,0,0,18776707,7,31,0.92,7.9,6.7,1.675,0.000,79.27,174.88,66.2,76.3,"21,000",10.646,8.879,10.047
