Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,19.56,13,25.5,3.1,0,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
23-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,19.06,13.22,24.11,1.6,0,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
24-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,19.06,15.89,23.89,0.7,0.01,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
25-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.67,15.72,22.78,1.1,0,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
26-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.5,16.11,20.89,1.6,0.98,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
27-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,17.67,16,19.72,1.7,0.04,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
28-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,17.56,15,20.61,1.1,1.61,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
29-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.72,15.22,23.28,2.5,0.39,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
30-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.67,15.39,21.39,2.1,0,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
31-01-2020,,Kenya,0,0,0,0,-0.0236,37.9062,19.39,12.61,25.39,1.4,0,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
01-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.83,16,23,1.6,0.51,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
02-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.78,15,25.11,1.7,0.83,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
03-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.17,13.22,23.72,1.7,0.2,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
04-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.06,12.72,24.11,1.5,0.31,1,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
05-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,18.11,11.89,24.5,2.1,0.08,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
06-02-2020,,Kenya,0,0,0,0,-0.0236,37.9062,17.83,11.78,25,1.6,0.08,0,53771296,94,20,1,3.08,1.4,0.125,0,14.92,24.16,63.1,66.1,2000,1.561605,1.449,Not Reported
