Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Kuwait,0,0,0,0,29.5,47.75,15.44,11.11,20,7.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
23-01-2020,,Kuwait,0,0,0,0,29.5,47.75,12,7.61,17,5.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
24-01-2020,,Kuwait,0,0,0,0,29.5,47.75,12.28,6.11,19.28,3.8,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
25-01-2020,,Kuwait,0,0,0,0,29.5,47.75,11.44,8.11,16.89,5.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
26-01-2020,,Kuwait,0,0,0,0,29.5,47.75,12,6.61,18.11,8.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
27-01-2020,,Kuwait,0,0,0,0,29.5,47.75,12.61,7.11,19.28,6,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
28-01-2020,,Kuwait,0,0,0,0,29.5,47.75,12.83,6.28,20.11,2.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
29-01-2020,,Kuwait,0,0,0,0,29.5,47.75,14.72,9.5,22.22,5.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
30-01-2020,,Kuwait,0,0,0,0,29.5,47.75,13.94,7.28,21.78,4.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
31-01-2020,,Kuwait,0,0,0,0,29.5,47.75,15.28,9,22.39,3.6,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
01-02-2020,,Kuwait,0,0,0,0,29.5,47.75,14.28,10.22,19.22,3.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
02-02-2020,,Kuwait,0,0,0,0,29.5,47.75,13,6.28,20.72,2.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
03-02-2020,,Kuwait,0,0,0,0,29.5,47.75,13.28,7.89,18.78,2.7,0.01,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
04-02-2020,,Kuwait,0,0,0,0,29.5,47.75,12.94,6.28,19.39,3.1,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
05-02-2020,,Kuwait,0,0,0,0,29.5,47.75,15,8.78,21.5,3.4,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
06-02-2020,,Kuwait,0,0,0,0,29.5,47.75,17.89,9.78,26.72,3.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
07-02-2020,,Kuwait,0,0,0,0,29.5,47.75,20.56,14.22,30,6.8,0.07,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
08-02-2020,,Kuwait,0,0,0,0,29.5,47.75,18.78,11.5,27.61,3.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
09-02-2020,,Kuwait,0,0,0,0,29.5,47.75,16.28,12.61,20.5,3.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
10-02-2020,,Kuwait,0,0,0,0,29.5,47.75,11.33,6.22,15.22,5.6,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
11-02-2020,,Kuwait,0,0,0,0,29.5,47.75,7.67,2.5,14,6,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
12-02-2020,,Kuwait,0,0,0,0,29.5,47.75,6.89,0.39,13.22,3.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
13-02-2020,,Kuwait,0,0,0,0,29.5,47.75,11,3.11,19.61,2.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
14-02-2020,,Kuwait,0,0,0,0,29.5,47.75,14.89,6.61,25,3.4,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
15-02-2020,,Kuwait,0,0,0,0,29.5,47.75,17,10,24.89,2.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
16-02-2020,,Kuwait,0,0,0,0,29.5,47.75,18.17,10.72,26.78,5.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
17-02-2020,,Kuwait,0,0,0,0,29.5,47.75,19.89,15.61,27,7.4,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
18-02-2020,,Kuwait,0,0,0,0,29.5,47.75,19.56,14.39,27.39,4.1,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
19-02-2020,,Kuwait,0,0,0,0,29.5,47.75,23,14.61,32.11,8.4,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
20-02-2020,,Kuwait,0,0,0,0,29.5,47.75,20.33,14.78,24.39,6.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
21-02-2020,,Kuwait,0,0,0,0,29.5,47.75,18.39,12.11,24.39,3.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
22-02-2020,,Kuwait,0,0,0,0,29.5,47.75,19.17,12.61,27.5,4.1,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
23-02-2020,,Kuwait,0,0,0,0,29.5,47.75,19.44,12.89,26.89,4,0,0,4270571,240,37,1.41,2.66,2,0.5,0,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
24-02-2020,,Kuwait,1,0,1,0,29.5,47.75,22.39,16.39,31.39,6.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0.000234161,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
25-02-2020,,Kuwait,11,0,10,0,29.5,47.75,22.33,15.28,31.61,10.1,0.11,0,4270571,240,37,1.41,2.66,2,0.5,0.002575768,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
26-02-2020,,Kuwait,26,0,15,0,29.5,47.75,17.28,13.5,22.61,11,0,0,4270571,240,37,1.41,2.66,2,0.5,0.006088179,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
27-02-2020,,Kuwait,43,0,17,0,29.5,47.75,17.06,11.22,23.72,4.2,0.12,0,4270571,240,37,1.41,2.66,2,0.5,0.010068911,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
28-02-2020,,Kuwait,45,0,2,0,29.5,47.75,18.44,11.78,25.5,2.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.010537233,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
29-02-2020,,Kuwait,45,0,0,0,29.5,47.75,18.78,11.28,27.5,3.7,0,0,4270571,240,37,1.41,2.66,2,0.5,0.010537233,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
01-03-2020,,Kuwait,45,0,0,0,29.5,47.75,21.61,13.78,30.89,4.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.010537233,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
02-03-2020,,Kuwait,56,0,11,0,29.5,47.75,18.72,13.5,24.11,3.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.013113001,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
03-03-2020,,Kuwait,56,0,0,0,29.5,47.75,18.39,11.78,24.28,4.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.013113001,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
04-03-2020,,Kuwait,56,0,0,0,29.5,47.75,18.28,11.5,24.89,5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.013113001,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
05-03-2020,,Kuwait,58,0,2,0,29.5,47.75,19.5,11.61,27.28,3.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.013581322,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
06-03-2020,,Kuwait,58,0,0,0,29.5,47.75,20.39,11.89,29.89,5.1,0,0,4270571,240,37,1.41,2.66,2,0.5,0.013581322,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
07-03-2020,,Kuwait,61,0,3,0,29.5,47.75,21.5,16.22,27.78,5.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.014283804,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
08-03-2020,,Kuwait,64,0,3,0,29.5,47.75,20.67,16,25.39,6.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0.014986286,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
09-03-2020,,Kuwait,64,0,0,0,29.5,47.75,22.33,16,29.39,5.1,0,0,4270571,240,37,1.41,2.66,2,0.5,0.014986286,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
10-03-2020,,Kuwait,69,0,5,0,29.5,47.75,22.06,15.11,30,3.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.01615709,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
11-03-2020,,Kuwait,72,0,3,0,29.5,47.75,22.39,14.39,31.61,3.7,0,0,4270571,240,37,1.41,2.66,2,0.5,0.016859572,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
12-03-2020,,Kuwait,80,0,8,0,29.5,47.75,22.06,14.22,31.39,3.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0.018732858,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
13-03-2020,,Kuwait,80,0,0,0,29.5,47.75,20.67,13.78,31.11,7,0,0,4270571,240,37,1.41,2.66,2,0.5,0.018732858,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
14-03-2020,,Kuwait,104,0,24,0,29.5,47.75,21,18.78,24,7.1,0.04,0,4270571,240,37,1.41,2.66,2,0.5,0.024352715,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
15-03-2020,,Kuwait,112,0,8,0,29.5,47.75,21.67,18.28,27.61,3.7,0,0,4270571,240,37,1.41,2.66,2,0.5,0.026226001,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
16-03-2020,,Kuwait,123,0,11,0,29.5,47.75,22.17,16.39,29.11,3.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.028801769,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
17-03-2020,,Kuwait,130,0,7,0,29.5,47.75,22.72,16.22,30.89,5.4,0,0,4270571,240,37,1.41,2.66,2,0.5,0.030440894,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
18-03-2020,,Kuwait,142,0,12,0,29.5,47.75,21.39,17.5,25.78,8.4,0.31,0,4270571,240,37,1.41,2.66,2,0.5,0.033250823,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
19-03-2020,,Kuwait,148,0,6,0,29.5,47.75,21.44,15.78,26.5,4.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.034655787,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
20-03-2020,,Kuwait,159,0,11,0,29.5,47.75,21.67,16.72,28.5,6.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.037231555,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
21-03-2020,,Kuwait,176,0,17,0,29.5,47.75,23.89,16.78,32.39,4.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0.041212288,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
22-03-2020,,Kuwait,188,0,12,0,29.5,47.75,18.33,15.22,23.11,6.8,0,0,4270571,240,37,1.41,2.66,2,0.5,0.044022216,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
23-03-2020,,Kuwait,189,0,1,0,29.5,47.75,18.61,12.22,24.72,5.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.044256377,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
24-03-2020,,Kuwait,191,0,2,0,29.5,47.75,20.39,14.28,27.89,4.2,0,0,4270571,240,37,1.41,2.66,2,0.5,0.044724698,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
25-03-2020,,Kuwait,195,0,4,0,29.5,47.75,21.5,15.28,29.72,4.5,0,0,4270571,240,37,1.41,2.66,2,0.5,0.045661341,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
26-03-2020,,Kuwait,208,0,13,0,29.5,47.75,21.11,18.5,25.78,5.8,0,0,4270571,240,37,1.41,2.66,2,0.5,0.048705431,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
27-03-2020,,Kuwait,225,0,17,0,29.5,47.75,22.83,17,29.28,6.3,0,0,4270571,240,37,1.41,2.66,2,0.5,0.052686163,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
28-03-2020,,Kuwait,235,0,10,0,29.5,47.75,24.5,19.72,31.72,8.4,0.07,0,4270571,240,37,1.41,2.66,2,0.5,0.05502777,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
29-03-2020,,Kuwait,255,0,20,0,29.5,47.75,23.44,17.72,29.28,5.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0.059710985,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
30-03-2020,,Kuwait,266,0,11,0,29.5,47.75,23.44,17.72,29.28,5.9,0,0,4270571,240,37,1.41,2.66,2,0.5,0.062286753,7.44,13.43,76.9,79.8,120000,Not Reported,8.508,Not Reported
