Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.5,-19.72,-12,2.3,99.99,1,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
23-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-15.39,-22.11,-8.11,2.8,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
24-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.5,-23.39,-10.61,2.9,99.99,1,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
25-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-13.39,-18.78,-8.5,2.4,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
26-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.61,-19.78,-7.11,2.6,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
27-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.78,-21.78,-5.78,2.3,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
28-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.44,-19.22,-9.11,3.1,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
29-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-16.72,-22,-8.22,2.9,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
30-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-18.11,-24,-11.22,2.9,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
31-01-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-17.83,-23.39,-10.61,2.7,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
01-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-18.39,-26,-9.28,2.4,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
02-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-16.61,-25,-9.89,2.8,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
03-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-14.22,-21.61,-9.39,2.2,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
04-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-12.83,-16.39,-5.28,3.9,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
05-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-13,-19.5,-4.22,2.3,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
06-02-2020,,Kyrgyzstan,0,0,0,0,41.2044,74.7661,-12.11,-18,-4.39,3.9,0,0,6524195,34,26,0.96,5.43,4.5,1.125,0,26.73,58.83,67.1,75.6,8186,6.839,6.947,5.977
