Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Laos,0,0,0,0,17.966667,102.6,26.72,19,34,2.5,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
23-01-2020,,Laos,0,0,0,0,17.966667,102.6,27.22,20,34.22,2.7,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
24-01-2020,,Laos,0,0,0,0,17.966667,102.6,27.17,21,33.61,2.8,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
25-01-2020,,Laos,0,0,0,0,17.966667,102.6,25.72,19,32,2.8,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
26-01-2020,,Laos,0,0,0,0,17.966667,102.6,25.5,18,32.61,5,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
27-01-2020,,Laos,0,0,0,0,17.966667,102.6,22.06,18,27.78,4.9,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
28-01-2020,,Laos,0,0,0,0,17.966667,102.6,22.83,17,28,3.6,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
29-01-2020,,Laos,0,0,0,0,17.966667,102.6,22.89,18,28,4.1,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
30-01-2020,,Laos,0,0,0,0,17.966667,102.6,20.78,14,26.61,4.2,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
31-01-2020,,Laos,0,0,0,0,17.966667,102.6,20.5,15,26.72,2.3,0,0,67580000,32,24.4,0.99,3.95,1.5,0.375,0,N/A,N/A,62.9,67.1,Not reported,3.207,4.186,2.819
