Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.94,3.11,5,0,0,0,1886198,30,44,0.86,19.85,5.8,0,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
23-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.28,1.5,3.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
24-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,5,4.22,5.28,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
25-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,4,2.89,5.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
26-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.67,1.89,4.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
27-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,4,3.61,4.39,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
28-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,1.06,0.5,2.72,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
29-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.5,1.5,3.61,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
30-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.33,1,3.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
31-01-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.28,1.61,2.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
01-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.22,2.72,6.28,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
02-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.89,3.72,6.39,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
03-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.89,1.72,3.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
04-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,-0.72,-3.22,1.72,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
05-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,-0.61,-7.39,2.89,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
06-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,0.72,-1.61,4,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
07-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,-0.78,-4.39,1.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
08-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3,2.39,3.61,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
09-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.33,1.78,4.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
10-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.5,2.5,6.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
11-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.56,2.28,4.39,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
12-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.89,1.89,3.78,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
13-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.28,2.22,4.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
14-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,1.33,-2,2.78,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
15-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,1.33,-2.5,4,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
16-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.44,2.22,7.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
17-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,7,5.72,9.39,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
18-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,5.39,4.5,6,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
19-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.33,3.72,4.78,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
20-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.83,3.5,4.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
21-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,2.61,1.78,3.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
22-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.28,3.22,5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
23-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,4.17,3.89,4.61,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
24-02-2020,,Latvia,0,0,0,0,56.8796,24.6032,3.5,2.5,4.22,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
25-02-2020,,Latvia,0,0,1,0,56.8796,24.6032,0.39,-1.72,2.22,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
26-02-2020,,Latvia,0,0,1,0,56.8796,24.6032,3.56,1.72,5.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
27-02-2020,,Latvia,0,0,1,0,56.8796,24.6032,1.28,-0.78,3.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
28-02-2020,,Latvia,0,0,1,0,56.8796,24.6032,-0.06,-1,1.22,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
29-02-2020,,Latvia,0,0,1,0,56.8796,24.6032,0.44,-3.72,2.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
01-03-2020,,Latvia,0,0,1,0,56.8796,24.6032,3.94,0.89,6,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
02-03-2020,,Latvia,1,0,1,0,56.8796,24.6032,5.33,3.61,8.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
03-03-2020,,Latvia,1,0,0,0,56.8796,24.6032,5.5,4.5,6.39,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
04-03-2020,,Latvia,1,0,0,0,56.8796,24.6032,5.39,4.72,7,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
05-03-2020,,Latvia,1,0,0,0,56.8796,24.6032,3.72,2.61,4.61,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
06-03-2020,,Latvia,1,0,0,0,56.8796,24.6032,3.61,-0.61,7,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
07-03-2020,,Latvia,1,0,0,0,56.8796,24.6032,3.67,2.61,5.61,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
08-03-2020,,Latvia,2,0,0,0,56.8796,24.6032,2.06,-0.72,3.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,2.57E-05,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
09-03-2020,,Latvia,6,0,2,0,56.8796,24.6032,4.17,1,8,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000102753,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
10-03-2020,,Latvia,8,0,-2,0,56.8796,24.6032,4.11,2.28,6.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000102753,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
11-03-2020,,Latvia,10,0,-3,0,56.8796,24.6032,4.83,4.22,5.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000128441,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
12-03-2020,,Latvia,10,0,-3,0,56.8796,24.6032,5.06,3.78,6.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000179818,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
13-03-2020,,Latvia,17,0,-3,0,56.8796,24.6032,3.44,0.11,5.22,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000179818,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
14-03-2020,,Latvia,26,0,-10,0,56.8796,24.6032,-0.5,-1.89,0.5,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000179818,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
15-03-2020,,Latvia,30,0,-15,0,56.8796,24.6032,2.11,0.22,4.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.00028257,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
16-03-2020,,Latvia,34,0,-14,0,56.8796,24.6032,3.44,3,4.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000411012,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
17-03-2020,,Latvia,49,0,-13,0,56.8796,24.6032,2.78,-1.78,5.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000539453,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
18-03-2020,,Latvia,71,0,-27,0,56.8796,24.6032,5.61,4.5,7,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000565141,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
19-03-2020,,Latvia,86,0,-49,0,56.8796,24.6032,4.22,3.5,5.5,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000565141,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
20-03-2020,,Latvia,111,0,-64,0,56.8796,24.6032,3.78,2.39,5,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000565141,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
21-03-2020,,Latvia,124,0,-87,0,56.8796,24.6032,-0.78,-2.22,1.22,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000616517,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
22-03-2020,,Latvia,139,0,-100,0,56.8796,24.6032,-1,-4.28,2.61,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.000616517,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
23-03-2020,,Latvia,180,0,-99,1,56.8796,24.6032,-1.61,-6.72,3,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.001027529,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
24-03-2020,,Latvia,197,0,-140,1,56.8796,24.6032,1.22,-4.11,5,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.001027529,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
25-03-2020,,Latvia,221,0,-123,1,56.8796,24.6032,4.78,1.11,7.5,999.9,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.001900928,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
26-03-2020,,Latvia,244,0,-137,2,56.8796,24.6032,4.78,1.72,10.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.002157811,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
27-03-2020,,Latvia,280,0,-150,4,56.8796,24.6032,5.28,-1.39,12.28,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.002414693,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
28-03-2020,,Latvia,305,0,-170,4,56.8796,24.6032,3,-0.72,7.72,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.002825704,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
29-03-2020,,Latvia,347,0,-195,4,56.8796,24.6032,2.11,-1.39,4.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.002825704,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
30-03-2020,,Latvia,376,0,-227,4,56.8796,24.6032,2.11,-1.39,4.11,0,0,0,1886198,30,44,0.86,19.85,5.8,0.125,0.003082587,2.76,17.68,70.4,79.7,16834,2.175,7.775,10.949
