Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,4.83,0.89,11.11,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
23-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,5.78,2.11,10.72,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
24-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,3.56,1.78,6.22,0,0.94,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
25-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,3.83,-2.72,11.39,0,0.01,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
26-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,5.39,-0.28,14.11,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
27-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,6.22,-1.61,13.28,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
28-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,8.28,2.39,16,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
29-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.94,5.89,12.28,0,0.59,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
30-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.22,4.22,10,0,0.12,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
31-01-2020,,Lebanon,0,0,0,0,33.8547,35.8623,6.11,4.5,8.72,0,0.83,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
01-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,6.22,3.78,10.11,0,0.12,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
02-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.11,1.28,14.72,0,0.04,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
03-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,8.33,3,16.22,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
04-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.94,4,12.78,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
05-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,11.06,7.72,17.11,0,0.01,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
06-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,10.61,4,17.11,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
07-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,6.56,4.78,9.89,0,0.16,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
08-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,3.28,1.39,6.11,0,1.26,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
09-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,1.11,-0.5,5.39,0,0.79,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
10-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,-0.33,-2.72,2,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
11-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,2.06,-3.5,6.28,0,0.04,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
12-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7,3.22,8.28,0,0.24,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
13-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.89,3.39,12.11,0,0.24,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
14-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,5.83,1.22,10.89,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
15-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.11,3,16.39,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
16-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,4.89,1.89,10,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
17-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,7.28,3.11,15,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
18-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,9.17,3,15.28,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
19-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,8.72,6.72,12.72,0,0.12,1,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
20-02-2020,,Lebanon,0,0,0,0,33.8547,35.8623,9.56,6.28,12,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
21-02-2020,,Lebanon,1,0,1,0,33.8547,35.8623,9.44,6.89,15,0,0,1,6825445,667,30,1,7.03,2.9,0.725,0.000146511,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
22-02-2020,,Lebanon,1,0,0,0,33.8547,35.8623,6.67,4.39,9.5,0,0.55,1,6825445,667,30,1,7.03,2.9,0.725,0.000146511,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
23-02-2020,,Lebanon,1,0,0,0,33.8547,35.8623,8.56,5.39,12.28,0,0.24,1,6825445,667,30,1,7.03,2.9,0.725,0.000146511,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
24-02-2020,,Lebanon,1,0,0,0,33.8547,35.8623,10.61,5.72,16.72,0,0,0,6825445,667,30,1,7.03,2.9,0.725,0.000146511,13.86,20.78,76.6,79.6,Not Reported,Not Reported,1.964,Not Reported
