Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,-1.89,-5,-0.39,2.2,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
23-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,-2.22,-3,-1.28,2.3,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
24-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,-1.28,-5,3.61,2.1,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
25-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,0.5,-2.78,5,1.9,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
26-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,0.72,-3.28,6.11,2.1,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
27-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,4.39,-0.72,9.89,2.1,0.02,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
28-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.22,1.22,9.61,3.7,0.24,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
29-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,2.28,1,6.78,2.3,0.55,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
30-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.28,-0.11,9.22,3.3,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
31-01-2020,,Liechtenstein,0,0,0,0,47.14,9.55,7.78,4.72,12.61,2.6,0.16,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
01-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,8.06,1.28,14.22,2.4,0.01,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
02-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,8.61,6.61,11.11,2.7,0.2,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
03-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,10.28,8.22,14.78,2.9,0.67,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
04-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.67,0.61,16.5,6.7,0.59,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
05-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,2.78,-0.11,5.61,4.3,0.01,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
06-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,0.89,-2.72,6.78,2.7,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
07-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,1.89,-3.78,7.39,1.9,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
08-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,1.94,-4.28,9.11,1.8,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
09-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.89,-1.28,14,2.9,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
10-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,11.89,6.5,16.89,7.6,0.2,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
11-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.61,3.22,14,6.6,0.67,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
12-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,2.94,0.28,6.39,3.4,0.04,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
13-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.67,-0.72,13.5,3.9,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
14-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.17,3.39,9.78,3.7,0.51,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
15-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.11,-0.39,12.22,3,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
16-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,7.83,2.11,16.28,2.3,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
17-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,9.28,4.28,17.39,3.3,0.04,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
18-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.83,3.11,10.11,3.3,0.04,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
19-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,4.61,2.72,7.39,3.5,0.08,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
20-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6,2.5,11.72,2.6,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
21-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.11,1.72,10.28,3,0.04,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
22-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,6.94,-0.11,14.28,2.5,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
23-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,10.39,5,18,3.1,0.01,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
24-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,12.78,7.22,18.61,3,0.2,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
25-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,8,3.72,13.72,3.1,0,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
26-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,2.94,0.39,10.78,4.1,0.35,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
27-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,3.28,-0.39,7.89,5.7,0.1,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
28-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,4.94,1.39,8.28,5,0.08,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
29-02-2020,,Liechtenstein,0,0,0,0,47.14,9.55,10.17,4,15.22,5.4,0,0,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
01-03-2020,,Liechtenstein,0,0,0,0,47.14,9.55,8.61,5,14.28,3.8,0.04,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
02-03-2020,,Liechtenstein,0,0,0,0,47.14,9.55,7.44,2.22,12.22,3.8,0.02,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
03-03-2020,,Liechtenstein,0,0,0,0,47.14,9.55,5.06,2.11,9.39,3.5,0.4,1,38128,109,41,0.99,17.91,8.2,2.05,0,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
04-03-2020,,Liechtenstein,1,0,1,0,47.14,9.55,4.61,0.61,8.72,3.6,0.08,1,38128,109,41,0.99,17.91,8.2,2.05,0.026227444,Not Reported,Not Reported,79.8,84.8,900,Not Reported,Not Reported,Not Reported
