Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,24.39,14.5,27,3.6,99.99,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
23-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,26.72,23,33,2.1,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
24-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,24.83,24,26,0,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
25-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.67,22,34,2.5,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
26-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,28.22,24,34,3.4,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
27-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.83,24,34,3,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
28-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,26.78,24.5,34,2.5,99.99,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
29-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.44,23,34,3.1,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
30-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,26.89,24,31,1.2,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
31-01-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.72,24,33,3,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
01-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.83,23.5,34,3.3,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
02-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.39,24,34,4,99.99,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
03-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.89,24,35,5.2,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
04-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,28.56,24,35,3.2,0,0,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
05-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,26.94,22,34,3.3,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
06-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.44,23.5,34,3.4,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
07-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.94,23.5,35,3.6,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
08-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,28.11,23.5,35,3.8,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
09-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,28.28,24,34,3.7,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
10-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,27.89,24,34,5.1,0,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
11-02-2020,,Liberia,0,0,0,0,6.4281,-9.4295,25.61,24,28,1.9,99.99,1,5057681,53,19,0.99,2.85,0.8,0.2,0,16.33,18.7,61.6,66,Not Reported,Not Reported,Not Reported,Not Reported
