Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),75.1,Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Libya,0,0,0,0,32.887222,13.191389,15.56,12.78,18.61,10.5,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
23-01-2020,,Libya,0,0,0,0,32.887222,13.191389,15.39,10.72,20.11,7.7,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
24-01-2020,,Libya,0,0,0,0,32.887222,13.191389,12.61,8.61,17,3.2,0,1,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
25-01-2020,,Libya,0,0,0,0,32.887222,13.191389,13.11,8.39,17.89,4,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
26-01-2020,,Libya,0,0,0,0,32.887222,13.191389,15.72,9.89,21.11,4.8,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
27-01-2020,,Libya,0,0,0,0,32.887222,13.191389,14.39,10,17,6.8,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
28-01-2020,,Libya,0,0,0,0,32.887222,13.191389,12.22,7,18,4.8,0,1,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
29-01-2020,,Libya,0,0,0,0,32.887222,13.191389,13.83,9,18.22,6.7,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
30-01-2020,,Libya,0,0,0,0,32.887222,13.191389,13.61,9,18.39,5.3,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
31-01-2020,,Libya,0,0,0,0,32.887222,13.191389,15.28,9.78,23,4.4,0.01,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
01-02-2020,,Libya,0,0,0,0,32.887222,13.191389,14.22,9.89,19,5.3,0,0,6754507,Not Reported,29.4,1.05,4.43,3.7,0.925,0,Not Reported,Not Reported,75.1,78.7,120,Not Reported,Not Reported,Not Reported
