Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.94,1,5,10.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
23-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,1.78,0,4,9.6,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
24-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.67,2,4,13.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
25-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.94,2,6,9.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
26-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.89,1,4,8.9,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
27-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,0.56,-1,1,4.1,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
28-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,1.33,-1,4,7.6,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
29-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.5,2,3,4.3,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
30-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.72,1,4,6.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
31-01-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.28,2,4,3.8,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
01-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,6.22,3,9,6.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
02-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,5.28,3,8,14.1,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
03-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.83,1,5,9.8,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
04-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,0.72,-3,3,4,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
05-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,-1.89,-6,1,6.7,0,0,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
06-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,0.72,-5,4,8.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
07-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,-1.94,-5,0,4.8,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
08-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,0.83,-2,2,7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
09-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,1.61,-3,6,9.3,0,0,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
10-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,4,1,6,13.4,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
11-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.5,1,4,9,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
12-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.56,1,4,12.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
13-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.78,0,4,10.5,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
14-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,0,-4,5,1.3,0,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
15-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,-0.67,-6,3,5.3,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
16-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,4.44,1,9,9.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
17-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,7.72,4,10,10.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
18-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,4.28,3,7,9.2,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
19-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,4.44,3,6,8.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
20-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.17,0,6,5.1,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
21-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.11,0,4,9,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
22-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.67,1,6,11.2,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
23-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.78,1,6,13.9,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
24-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,2.83,-2,7,8,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
25-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,1.11,-3,3,5.6,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
26-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,3.28,0,8,5,0,0,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
27-02-2020,,Lithuania,0,0,0,0,55.1694,23.8813,1.28,0,3,9.8,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
28-02-2020,,Lithuania,1,0,1,0,55.1694,23.8813,0.89,-1,3,9.7,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0.000367338,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
29-02-2020,,Lithuania,1,0,0,0,55.1694,23.8813,2.83,0,5,7.4,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0.000367338,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
01-03-2020,,Lithuania,1,0,0,0,55.1694,23.8813,5.39,3,8,8.2,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0.000367338,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
02-03-2020,,Lithuania,1,0,0,0,55.1694,23.8813,6.5,3,10,6.2,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0.000367338,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
03-03-2020,,Lithuania,1,0,0,0,55.1694,23.8813,6.17,4,8,5.2,99.99,1,2722289,43,45,0.86,19.91,7.3,1.825,0.000367338,4.13,25.02,69.9,80.8,15635,4.702,2.825,14.678
