Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,-2.17,-5.61,1.22,3.8,0,0,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
23-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,-0.06,-1,1.22,8.3,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
24-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,-1.33,-2.11,-0.61,2.5,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
25-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,-0.06,-1.28,1.39,1.7,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
26-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,1.56,-2,4.28,1.1,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
27-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,5.22,3.61,6,12.3,0.09,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
28-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,3,0,6,14,0.69,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
29-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,2.44,0.28,5.61,10.5,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
30-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,5.39,2.61,10.28,10.1,0.06,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
31-01-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,10.22,9,11.61,12.2,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
01-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,9,5.11,10.28,12.4,0.3,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
02-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,8.44,4,12.22,11.8,0.65,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
03-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,8.06,3.72,10,9.9,0.21,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
04-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,2.94,0.89,4.39,9.1,0.75,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
05-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,3,-1.22,7.22,2.1,0.08,0,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
06-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,0.94,-2.89,5.61,3.4,0,0,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
07-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,1.33,-2.78,7.28,5.4,0,0,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
08-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,2,-2.78,5.28,0.8,0,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
09-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,7.94,3.61,10.28,18.8,0.24,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
10-02-2020,,Luxembourg,0,0,0,0,49.8153,6.1296,6.5,3.72,10.28,21.5,0.65,1,625978,242,40,1.01,15.11,4.8,1.2,0,17.2,24.91,79.9,85,20092,Not Reported,1.018,Not Reported
