Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,18.44,17,22.22,6.5,1.38,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
23-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,18.83,17,21.72,6.1,1.06,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
24-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,21.67,18,29,3.7,0.79,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
25-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,20.72,18,28.11,7.3,0,0,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
26-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,20.28,16,26,6.7,0.04,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
27-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,20.56,16,27,4.3,0.04,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
28-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,22.78,18.72,30,3.7,0.04,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
29-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,24.06,19.61,32,4.4,0.39,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
30-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,22.89,18,30.61,6.4,0,1,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
31-01-2020,,Madagascar,0,0,0,0,-18.933333,47.516667,21.72,17,28.72,8.7,0.08,0,25683610,Not Reported,19.9,1.03,3.35,0.2,0.05,0,Not Reported,Not Reported,65.1,68.2,Not Reported,Not Reported,Not Reported,5.977
