Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
23-01-2020,,Malaysia,0,0,0,0,2.5,112.5,27.39,24.72,31.28,2.3,0.29,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
24-01-2020,,Malaysia,0,0,0,0,2.5,112.5,26.11,24,31,2.5,0.04,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
25-01-2020,,Malaysia,3,0,0,0,2.5,112.5,27.83,24,32.89,2.2,0.14,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
26-01-2020,,Malaysia,4,0,-3,0,2.5,112.5,26.72,25,31,2.5,0.14,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
27-01-2020,,Malaysia,4,0,-4,0,2.5,112.5,27.56,24.72,33.11,1.8,0.06,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
28-01-2020,,Malaysia,4,0,-4,0,2.5,112.5,28.22,25,33,3.6,0.34,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
29-01-2020,,Malaysia,7,0,-4,0,2.5,112.5,27.67,24.78,32.39,4.7,0.02,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
30-01-2020,,Malaysia,8,0,-7,0,2.5,112.5,25.67,23.89,28,2.9,0,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
31-01-2020,,Malaysia,8,0,-8,0,2.5,112.5,26.28,22.78,32,3.3,0.05,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
01-02-2020,,Malaysia,8,0,-8,0,2.5,112.5,27.17,22.72,32,5,0,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
02-02-2020,,Malaysia,8,0,-8,0,2.5,112.5,26.78,23.78,32,3.6,0,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
03-02-2020,,Malaysia,8,0,-8,0,2.5,112.5,26.22,23.78,31,3.2,0.12,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
04-02-2020,,Malaysia,10,0,-8,0,2.5,112.5,27,23.61,30,3.5,0.01,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
05-02-2020,,Malaysia,12,0,-10,0,2.5,112.5,26.94,24.61,30,4.3,0,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
06-02-2020,,Malaysia,12,0,-12,0,2.5,112.5,26.56,23,31,3.2,0,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
07-02-2020,,Malaysia,12,0,-12,0,2.5,112.5,26.61,22.72,33,3.1,0,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
08-02-2020,,Malaysia,16,0,-12,0,2.5,112.5,28.06,22.5,33.11,2.2,0,0,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
09-02-2020,,Malaysia,16,0,-16,0,2.5,112.5,27,23,34,3.3,0,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
10-02-2020,,Malaysia,18,0,-16,0,2.5,112.5,26.67,22.89,32.22,2.7,2.7,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
11-02-2020,,Malaysia,18,0,-18,0,2.5,112.5,27.11,23.11,32.28,3.3,0.02,1,32365999,99,30,1.03,6.35,1.9,0.125,0.00000,12.95,34.24,72.6,78.4,45378,Not Reported,25.832,302.415
