Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.39,27.61,31.28,17.1,0,1,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
23-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.72,26.39,32,18,0.01,1,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
24-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.5,26.39,30.39,14.7,0.02,1,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
25-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.28,25.11,32,12.3,0.04,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
26-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.83,26.61,31.61,9.3,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
27-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.56,26.5,30.5,7.7,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
28-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.67,26.11,31,9.7,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
29-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.89,27,31.22,10.8,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
30-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.89,26.89,31.11,9.7,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
31-01-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.72,26.61,31.22,9.5,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
01-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,28.94,26.89,31.22,9.8,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
02-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.39,27.28,32,12,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
03-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.39,27.39,32,12.6,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
04-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.67,27.78,31.61,11.2,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
05-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.44,27.61,31.39,12.3,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
06-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.39,27.5,32,11.5,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
07-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.17,27.39,32,8.9,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
08-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.33,26.78,31.5,7,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
09-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.56,27.22,31.72,9.8,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
10-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.67,27.78,32,16.2,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
11-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.44,27.89,32,17.8,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
12-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.61,27.89,32,14.3,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
13-02-2020,,Maldives,0,0,0,0,3.2028,73.2207,29.22,28,31,15.2,0,0,540544,1802,30,1.23,4.54,4.3,1.075,0,26.61,26.89,73.7,78.5,500,Not Reported,1.484,Not Reported
