Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.67,18.78,35,4,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
23-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.44,21.5,32,5.6,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
24-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.33,21,33,9.6,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
25-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.83,20,36,7,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
26-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.22,17,36,6.5,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
27-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.44,18.78,35,7.5,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
28-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.5,19,33.5,6.4,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
29-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,25.28,11.5,35,6.8,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
30-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.61,16,36.5,7.3,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
31-01-2020,,Mali,0,0,0,0,12.639167,-8.002778,28.83,20.5,37.5,8.3,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
01-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,28.61,19,37.5,8.1,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
02-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,28.11,19,36,8.9,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
03-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.94,18,35,7.9,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
04-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,25.72,14,34.72,6.5,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
05-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.5,19,35,8.3,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
06-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.06,19,34,8.7,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
07-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,27,19,34.11,10,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
08-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.11,13,34,7.4,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
09-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,26.33,16.61,34,7.7,0,0,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
10-02-2020,,Mali,0,0,0,0,12.639167,-8.002778,27.94,22,34,9.8,99.99,1,18429893,Not Reported,15.8,1.03,3.02,0.1,0.025,0,Not Reported,Not Reported,58.6,63,Not Reported,Not Reported,Not Reported,Not Reported
