Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.61,11.72,16.72,9.2,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
23-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.44,11,15,7.5,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
24-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.72,11,15.11,13.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
25-01-2020,,Malta,0,0,0,0,35.9375,14.3754,15.22,14,17,9.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
26-01-2020,,Malta,0,0,0,0,35.9375,14.3754,14.72,12,18,5.9,0,1,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
27-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.78,11,17,9.2,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
28-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.83,11,17,9.6,0,1,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
29-01-2020,,Malta,0,0,0,0,35.9375,14.3754,14.39,13,17,12.5,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
30-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.89,9,17,9.7,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
31-01-2020,,Malta,0,0,0,0,35.9375,14.3754,13.61,9.28,17,5.9,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
01-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.06,12,18,5,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
02-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.22,12,17,10.2,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
03-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.56,12,17,12.4,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
04-02-2020,,Malta,0,0,0,0,35.9375,14.3754,16.11,14,19,18.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
05-02-2020,,Malta,0,0,0,0,35.9375,14.3754,12,8,15,21.6,0.02,1,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
06-02-2020,,Malta,0,0,0,0,35.9375,14.3754,10.78,7,14.39,13,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
07-02-2020,,Malta,0,0,0,0,35.9375,14.3754,9.5,5.39,14.61,6.2,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
08-02-2020,,Malta,0,0,0,0,35.9375,14.3754,11.33,6.5,16.11,3.6,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
09-02-2020,,Malta,0,0,0,0,35.9375,14.3754,11,6.5,16,3.4,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
10-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.06,7.78,16.5,8.9,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
11-02-2020,,Malta,0,0,0,0,35.9375,14.3754,15.94,13,19.28,16.5,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
12-02-2020,,Malta,0,0,0,0,35.9375,14.3754,15.33,13,19.61,13.1,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
13-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.56,9,17.11,4.2,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
14-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.17,10,18,11.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
15-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.39,9,18,7.1,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
16-02-2020,,Malta,0,0,0,0,35.9375,14.3754,12.39,8.61,16.61,5.6,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
17-02-2020,,Malta,0,0,0,0,35.9375,14.3754,11.83,7.61,16.78,3.6,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
18-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.17,9.22,17,9.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
19-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.61,11.39,17.28,14.1,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
20-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.89,11,17.72,12.6,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
21-02-2020,,Malta,0,0,0,0,35.9375,14.3754,12.56,8.5,17.61,5.7,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
22-02-2020,,Malta,0,0,0,0,35.9375,14.3754,12.94,9.72,16.5,6.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
23-02-2020,,Malta,0,0,0,0,35.9375,14.3754,12.78,7.61,17,8.9,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
24-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.72,11.72,16.72,15.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
25-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.22,11,18.11,6.9,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
26-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.78,12,18.61,11.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
27-02-2020,,Malta,0,0,0,0,35.9375,14.3754,13.94,12,17,15.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
28-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.5,11,18,13.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
29-02-2020,,Malta,0,0,0,0,35.9375,14.3754,14.28,10.61,18,7.8,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
01-03-2020,,Malta,0,0,0,0,35.9375,14.3754,15.94,13.28,19.39,9.3,0,0,441543,1380,43,0.99,20.51,4.7,1.175,0,6.66,19.15,80.6,84.8,4462,0.728,2.599,Not Reported
