Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.44,22.72,24.5,4.3,2.17,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
23-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,25.39,23,29.39,5.4,0.87,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
24-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,24,22.5,25.89,6.3,0.67,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
25-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.17,22.22,26.78,8,1.18,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
26-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.5,21.22,26.5,7.7,0.03,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
27-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,22.56,20.72,26,7.1,0.16,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
28-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,21.89,18.22,25.11,3.6,0,0,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
29-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,22.17,18.11,26.39,2.7,0.02,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
30-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.83,20.22,28.39,6.1,0.02,0,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
31-01-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.22,20.39,27.22,6.4,0.43,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
01-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.44,22,27.61,8.4,0.12,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
02-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.56,22.11,28.22,8.7,0,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
03-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.5,22.28,27.78,9.8,0.79,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
04-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.67,22.28,26.39,10.9,0.12,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
05-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.06,22.22,28.22,9.5,1.61,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
06-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.22,22.5,27.89,7.5,0.67,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
07-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,23.89,21.39,28.28,6.1,0,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
08-02-2020,,Mauritius,0,0,0,0,-20.2,57.5,24.11,21.5,28.39,6.9,0.02,1,1271768,626,37,0.97,10.17,3.4,0.85,0,17.36,48.62,72.6,79.7,953,Not Reported,1.399,Not Reported
